mustela_putorius ENSMPUG00000018977
neovison_vison ENSNVIG00000007120
canis_lupus ENSCAFG00020010236
canis_lupus ENSCAFG00020010238
canis_lupus ENSCAFG00000016520
ursus_americanus ENSUAMG00000000485
ursus_maritimus ENSUMAG00000000797
ailuropoda_melanoleuca ENSAMEG00000015874
felis_catus ENSFCAG00000050960
felis_catus ENSFCAG00000048224
felis_catus ENSFCAG00000049316
felis_catus ENSFCAG00000053603
felis_catus ENSFCAG00000051575
myotis_lucifugus ENSMLUG00000008292
bos_indicus ENSBIXG00005007282
bos_taurus ENSBTAG00000004151
bos_indicus ENSBIXG00000010438
bos_mutus ENSBMUG00000012007
ovis_aries ENSOARG00000004633
ovis_aries ENSOARG00000005439
bos_taurus ENSBTAG00000045616
bos_indicus ENSBIXG00005002029
bos_mutus ENSBMUG00000001804
ovis_aries ENSOARG00000005509
ovis_aries ENSOARG00000005470
ovis_aries ENSOARG00000004671
sus_scrofa ENSSSCG00000036316
urocitellus_parryii ENSUPAG00010008171
marmota_marmota ENSMMMG00000009624
spermophilus_dauricus ENSSDAG00000014890
dasypus_novemcinctus ENSDNOG00000040947
