oryzias_latipes ENSORLG00000003147
oryzias_latipes_asm223469v1 ENSORLG00015008134
stegastes_partitus ENSSPAG00000021471
astatotilapia_calliptera ENSACLG00000023861
oreochromis_niloticus ENSONIG00000016490
labrus_bergylta ENSLBEG00000014953
anabas_testudineus ENSATEG00000020342
maylandia_zebra ENSMZEG00005020472
haplochromis_burtoni ENSHBUG00000002017
pundamilia_nyererei ENSPNYG00000013738
oryzias_melastigma ENSOMEG00000005902
mastacembelus_armatus ENSMAMG00000004495
poecilia_mexicana ENSPMEG00000020487
poecilia_latipinna ENSPLAG00000006103
poecilia_reticulata ENSPREG00000010450
xiphophorus_maculatus ENSXMAG00000021165
gambusia_affinis ENSGAFG00000019045
fundulus_heteroclitus ENSFHEG00000004466
cyprinodon_variegatus ENSCVAG00000012404
kryptolebias_marmoratus ENSKMAG00000003741
seriola_dumerili ENSSDUG00000023545
seriola_lalandi_dorsalis ENSSLDG00000008099
amphiprion_ocellaris ENSAOCG00000008815
amphiprion_percula ENSAPEG00000003709
mola_mola ENSMMOG00000016226
tetraodon_nigroviridis ENSTNIG00000003175
gadus_morhua ENSGMOG00000007537
gasterosteus_aculeatus ENSGACG00000001674
cynoglossus_semilaevis ENSCSEG00000016211
periophthalmus_magnuspinnatus ENSPMGG00000017245
takifugu_rubripes ENSTRUG00000022279
esox_lucius ENSELUG00000016239
astyanax_mexicanus ENSAMXG00000014640
paramormyrops_kingsleyae ENSPKIG00000010728
scleropages_formosus ENSSFOG00015020700
acanthochromis_polyacanthus ENSAPOG00000002753
hippocampus_comes ENSHCOG00000012172
poecilia_reticulata ENSPREG00000010417
lepisosteus_oculatus ENSLOCG00000011737
meriones_unguiculatus ENSMUGG00000013198
meriones_unguiculatus ENSMUGG00000013206
ursus_americanus ENSUAMG00000020412
vulpes_vulpes ENSVVUG00000010764
phascolarctos_cinereus ENSPCIG00000008922
octodon_degus ENSODEG00000002411
octodon_degus ENSODEG00000002452
carlito_syrichta ENSTSYG00000030330
calidris_pygmaea ENSCPGG00000007695
calidris_pugnax ENSCPUG00000009888
taeniopygia_guttata ENSTGUG00000001221
lonchura_striata_domestica ENSLSDG00000008917
ficedula_albicollis ENSFALG00000007351
junco_hyemalis ENSJHYG00000010131
cyanistes_caeruleus ENSCCEG00000014415
parus_major ENSPMJG00000006606
zonotrichia_albicollis ENSZALG00000015563
serinus_canaria ENSSCAG00000010164
anas_platyrhynchos_platyrhynchos ENSAPLG00000005756
anser_brachyrhynchus ENSABRG00000003958
meleagris_gallopavo ENSMGAG00000007367
gallus_gallus ENSGALG00000031565
coturnix_japonica ENSCJPG00005004095
numida_meleagris ENSNMEG00000009653
lepidothrix_coronata ENSLCOG00000002806
melopsittacus_undulatus ENSMUNG00000006018
apteryx_haastii ENSAHAG00000008787
apteryx_owenii ENSAOWG00000011968
apteryx_rowi ENSARWG00000016344
dromaius_novaehollandiae ENSDNVG00000001128
nothoprocta_perdicaria ENSNPEG00000003533
crocodylus_porosus ENSCPRG00005009479
manacus_vitellinus ENSMVIG00005006620
manacus_vitellinus ENSMVIG00005006608
lepidothrix_coronata ENSLCOG00000002805
numida_meleagris ENSNMEG00000009654
gopherus_agassizii ENSGAGG00000009113
chelonoidis_abingdonii ENSCABG00000004970
gopherus_agassizii ENSGAGG00000007356
chrysemys_picta_bellii ENSCPBG00000015130
pelodiscus_sinensis ENSPSIG00000017461
anolis_carolinensis ENSACAG00000009235
pogona_vitticeps ENSPVIG00000023584
salvator_merianae ENSSMRG00000014064
notechis_scutatus ENSNSUG00000009447
dipodomys_ordii ENSDORG00000025971
seriola_lalandi_dorsalis ENSSLDG00000005607
taeniopygia_guttata ENSTGUG00000016118
meleagris_gallopavo ENSMGAG00000012275
ursus_americanus ENSUAMG00000020410
panthera_tigris_altaica ENSPTIG00000021686
sphenodon_punctatus ENSSPUG00000016854
pteropus_vampyrus ENSPVAG00000007945
myotis_lucifugus ENSMLUG00000011932
equus_caballus ENSECAG00000031965
equus_caballus ENSECAG00000007265
equus_asinus_asinus ENSEASG00005019970
sus_scrofa ENSSSCG00000011090
vicugna_pacos ENSVPAG00000006222
bos_mutus ENSBMUG00000020312
bos_taurus ENSBTAG00000013339
bison_bison_bison ENSBBBG00000014814
ovis_aries ENSOARG00000000461
capra_hircus ENSCHIG00000023751
tursiops_truncatus ENSTTRG00000009320
ailuropoda_melanoleuca ENSAMEG00000006071
ursus_maritimus ENSUMAG00000013437
neovison_vison ENSNVIG00000002762
mustela_putorius_furo ENSMPUG00000011945
vulpes_vulpes ENSVVUG00000010727
vulpes_vulpes ENSVVUG00000010761
canis_lupus_dingo ENSCAFG00020026210
canis_lupus_dingo ENSCAFG00020026207
canis_lupus_dingo ENSCAFG00020026209
canis_lupus_familiaris ENSCAFG00000004130
panthera_pardus ENSPPRG00000013325
panthera_tigris_altaica ENSPTIG00000000483
felis_catus ENSFCAG00000010827
erinaceus_europaeus ENSEEUG00000008718
sorex_araneus ENSSARG00000002821
gorilla_gorilla ENSGGOG00000005437
homo_sapiens ENSG00000078114
pan_troglodytes ENSPTRG00000002343
pan_paniscus ENSPPAG00000040510
pongo_abelii ENSPPYG00000002136
nomascus_leucogenys ENSNLEG00000012730
macaca_fascicularis ENSMFAG00000042804
macaca_nemestrina ENSMNEG00000032301
macaca_mulatta ENSMMUG00000010589
mandrillus_leucophaeus ENSMLEG00000037878
cercocebus_atys ENSCATG00000034208
papio_anubis ENSPANG00000023139
theropithecus_gelada ENSTGEG00000005145
chlorocebus_sabaeus ENSCSAG00000012544
rhinopithecus_roxellana ENSRROG00000033830
rhinopithecus_bieti ENSRBIG00000045011
piliocolobus_tephrosceles ENSPTEG00000031233
colobus_angolensis_palliatus ENSCANG00000034493
cebus_capucinus ENSCCAG00000009396
saimiri_boliviensis_boliviensis ENSSBOG00000027679
callithrix_jacchus ENSCJAG00000008182
aotus_nancymaae ENSANAG00000024561
carlito_syrichta ENSTSYG00000002585
prolemur_simus ENSPSMG00000017822
propithecus_coquereli ENSPCOG00000021313
microcebus_murinus ENSMICG00000001138
otolemur_garnettii ENSOGAG00000013727
castor_canadensis ENSCCNG00000009618
dipodomys_ordii ENSDORG00000014081
cavia_porcellus ENSCPOG00000013320
cavia_aperea ENSCAPG00000013309
chinchilla_lanigera ENSCLAG00000008890
heterocephalus_glaber_female ENSHGLG00000006963
heterocephalus_glaber_male ENSHGLG00100016419
fukomys_damarensis ENSFDAG00000019868
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024116
mus_spicilegus ENSMSIG00000027744
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023200
mus_pahari MGP_PahariEiJ_G0024657
rattus_norvegicus ENSRNOG00000049452
meriones_unguiculatus ENSMUGG00000027059
mesocricetus_auratus ENSMAUG00000017747
mesocricetus_auratus ENSMAUG00000018668
cricetulus_griseus_crigri ENSCGRG00000003752
cricetulus_griseus_crigri ENSCGRG00000002292
cricetulus_griseus_crigri ENSCGRG00000002829
cricetulus_griseus_crigri-picr ENSCGRG00015022598
cricetulus_griseus_chok1gshd ENSCGRG00001009495
peromyscus_maniculatus_bairdii ENSPEMG00000022900
nannospalax_galili ENSNGAG00000007125
jaculus_jaculus ENSJJAG00000021442
ictidomys_tridecemlineatus ENSSTOG00000020521
urocitellus_parryii ENSUPAG00010005363
spermophilus_dauricus ENSSDAG00000023456
marmota_marmota_marmota ENSMMMG00000018487
oryctolagus_cuniculus ENSOCUG00000012207
ochotona_princeps ENSOPRG00000017308
tupaia_belangeri ENSTBEG00000007140
loxodonta_africana ENSLAFG00000017498
echinops_telfairi ENSETEG00000000012
procavia_capensis ENSPCAG00000013350
choloepus_hoffmanni ENSCHOG00000007690
dasypus_novemcinctus ENSDNOG00000003076
notamacropus_eugenii ENSMEUG00000013369
phascolarctos_cinereus ENSPCIG00000008919
monodelphis_domestica ENSMODG00000009210
sarcophilus_harrisii ENSSHAG00000017199
ornithorhynchus_anatinus ENSOANG00000005701
poecilia_formosa ENSPFOG00000023729
microtus_ochrogaster ENSMOCG00000013215
microtus_ochrogaster ENSMOCG00000015083
spermophilus_dauricus ENSSDAG00000023495
equus_asinus_asinus ENSEASG00005019967
equus_caballus ENSECAG00000038375
vulpes_vulpes ENSVVUG00000010711
ursus_maritimus ENSUMAG00000013432
gopherus_agassizii ENSGAGG00000009109
sphenodon_punctatus ENSSPUG00000016873
xenopus_tropicalis ENSXETG00000016599
amphiprion_ocellaris ENSAOCG00000008877
latimeria_chalumnae ENSLACG00000013516
