macaca_fascicularis ENSMFAG00000032140
macaca_nemestrina ENSMNEG00000039485
macaca_mulatta ENSMMUG00000003019
papio_anubis ENSPANG00000035449
rhinopithecus_bieti ENSRBIG00000039694
rhinopithecus_roxellana ENSRROG00000032887
colobus_angolensis_palliatus ENSCANG00000021598
mandrillus_leucophaeus ENSMLEG00000037500
ochotona_princeps ENSOPRG00000002544
dasypus_novemcinctus ENSDNOG00000039599
ursus_americanus ENSUAMG00000001597
meleagris_gallopavo ENSMGAG00000011178
manacus_vitellinus ENSMVIG00005002659
