astyanax_mexicanus ENSAMXG00000038627
ictalurus_punctatus ENSIPUG00000013372
esox_lucius ENSELUG00000015044
paramormyrops_kingsleyae ENSPKIG00000018270
mola_mola ENSMMOG00000002495
labrus_bergylta ENSLBEG00000028340
seriola_dumerili ENSSDUG00000009004
seriola_lalandi_dorsalis ENSSLDG00000006951
hippocampus_comes ENSHCOG00000012292
takifugu_rubripes ENSTRUG00000022852
cynoglossus_semilaevis ENSCSEG00000011333
poecilia_latipinna ENSPLAG00000012611
poecilia_mexicana ENSPMEG00000021931
cyprinodon_variegatus ENSCVAG00000011666
amphiprion_ocellaris ENSAOCG00000006014
acanthochromis_polyacanthus ENSAPOG00000022847
stegastes_partitus ENSSPAG00000015956
monopterus_albus ENSMALG00000003941
periophthalmus_magnuspinnatus ENSPMGG00000019127
ciona_intestinalis ENSCING00000020054
