bos_mutus ENSBMUG00000006449
bos_taurus ENSBTAG00000024947
bison_bison_bison ENSBBBG00000003240
capra_hircus ENSCHIG00000023490
ovis_aries ENSOARG00000013912
sus_scrofa ENSSSCG00000017285
myotis_lucifugus ENSMLUG00000022879
ursus_maritimus ENSUMAG00000017491
ursus_americanus ENSUAMG00000007421
ailuropoda_melanoleuca ENSAMEG00000003052
mustela_putorius_furo ENSMPUG00000014797
neovison_vison ENSNVIG00000023638
canis_lupus_familiaris ENSCAFG00000012690
canis_lupus_dingo ENSCAFG00020026622
vulpes_vulpes ENSVVUG00000006142
panthera_pardus ENSPPRG00000004499
panthera_tigris_altaica ENSPTIG00000018553
felis_catus ENSFCAG00000030355
microcebus_murinus ENSMICG00000046974
prolemur_simus ENSPSMG00000012153
otolemur_garnettii ENSOGAG00000032862
theropithecus_gelada ENSTGEG00000023610
macaca_mulatta ENSMMUG00000009283
piliocolobus_tephrosceles ENSPTEG00000012993
mus_spicilegus ENSMSIG00000025039
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018162
mus_musculus ENSMUSG00000020712
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017318
mus_pahari MGP_PahariEiJ_G0018448
rattus_norvegicus ENSRNOG00000010929
meriones_unguiculatus ENSMUGG00000017789
peromyscus_maniculatus_bairdii ENSPEMG00000007448
microtus_ochrogaster ENSMOCG00000004888
cricetulus_griseus_chok1gshd ENSCGRG00001017311
cricetulus_griseus_crigri ENSCGRG00000011005
cricetulus_griseus_crigri-picr ENSCGRG00015022316
mesocricetus_auratus ENSMAUG00000018249
nannospalax_galili ENSNGAG00000015053
jaculus_jaculus ENSJJAG00000009667
ictidomys_tridecemlineatus ENSSTOG00000026223
marmota_marmota_marmota ENSMMMG00000010214
urocitellus_parryii ENSUPAG00010001267
spermophilus_dauricus ENSSDAG00000009323
chinchilla_lanigera ENSCLAG00000010989
octodon_degus ENSODEG00000009207
fukomys_damarensis ENSFDAG00000017732
loxodonta_africana ENSLAFG00000027343
oryctolagus_cuniculus ENSOCUG00000026494
dasypus_novemcinctus ENSDNOG00000046459
