mandrillus_leucophaeus ENSMLEG00000025557
cercocebus_atys ENSCATG00000041904
papio_anubis ENSPANG00000031590
pan_troglodytes ENSPTRG00000043667
cebus_capucinus ENSCCAG00000025428
aotus_nancymaae ENSANAG00000033055
saimiri_boliviensis_boliviensis ENSSBOG00000014464
piliocolobus_tephrosceles ENSPTEG00000022195
colobus_angolensis_palliatus ENSCANG00000027563
rhinopithecus_roxellana ENSRROG00000029832
rhinopithecus_bieti ENSRBIG00000030215
macaca_fascicularis ENSMFAG00000003682
macaca_nemestrina ENSMNEG00000040272
nomascus_leucogenys ENSNLEG00000032623
callithrix_jacchus ENSCJAG00000043240
