cricetulus_griseus_crigri-picr ENSCGRG00015024328
cricetulus_griseus_crigri ENSCGRG00000013912
cricetulus_griseus_chok1gshd ENSCGRG00001011879
mesocricetus_auratus ENSMAUG00000000222
microtus_ochrogaster ENSMOCG00000018164
peromyscus_maniculatus_bairdii ENSPEMG00000028308
meriones_unguiculatus ENSMUGG00000026322
meriones_unguiculatus ENSMUGG00000026331
mus_spicilegus ENSMSIG00000009509
mus_musculus ENSMUSG00000011884
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028598
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027600
mus_pahari MGP_PahariEiJ_G0024182
rattus_norvegicus ENSRNOG00000001192
nannospalax_galili ENSNGAG00000017052
jaculus_jaculus ENSJJAG00000023981
oryctolagus_cuniculus ENSOCUG00000001054
ochotona_princeps ENSOPRG00000002501
dipodomys_ordii ENSDORG00000008704
echinops_telfairi ENSETEG00000016033
octodon_degus ENSODEG00000008564
chinchilla_lanigera ENSCLAG00000009283
heterocephalus_glaber_female ENSHGLG00000015946
fukomys_damarensis ENSFDAG00000007942
cavia_porcellus ENSCPOG00000032905
dasypus_novemcinctus ENSDNOG00000034160
dasypus_novemcinctus ENSDNOG00000015091
myotis_lucifugus ENSMLUG00000012545
myotis_lucifugus ENSMLUG00000028167
ursus_maritimus ENSUMAG00000002073
ovis_aries ENSOARG00000014443
spermophilus_dauricus ENSSDAG00000016817
marmota_marmota_marmota ENSMMMG00000024375
ictidomys_tridecemlineatus ENSSTOG00000004484
urocitellus_parryii ENSUPAG00010022565
choloepus_hoffmanni ENSCHOG00000003471
dasypus_novemcinctus ENSDNOG00000034472
cavia_aperea ENSCAPG00000005833
heterocephalus_glaber_male ENSHGLG00100001509
spermophilus_dauricus ENSSDAG00000016838
equus_asinus_asinus ENSEASG00005018660
microcebus_murinus ENSMICG00000030371
propithecus_coquereli ENSPCOG00000028356
prolemur_simus ENSPSMG00000005669
carlito_syrichta ENSTSYG00000029195
carlito_syrichta ENSTSYG00000013964
carlito_syrichta ENSTSYG00000027693
ailuropoda_melanoleuca ENSAMEG00000005882
ursus_americanus ENSUAMG00000027809
neovison_vison ENSNVIG00000018943
mustela_putorius_furo ENSMPUG00000003917
vulpes_vulpes ENSVVUG00000001388
canis_lupus_dingo ENSCAFG00020021694
panthera_pardus ENSPPRG00000013292
felis_catus ENSFCAG00000011500
bos_mutus ENSBMUG00000021754
bison_bison_bison ENSBBBG00000012084
capra_hircus ENSCHIG00000019730
tursiops_truncatus ENSTTRG00000005105
sus_scrofa ENSSSCG00000039012
pteropus_vampyrus ENSPVAG00000006261
mandrillus_leucophaeus ENSMLEG00000042449
papio_anubis ENSPANG00000017668
theropithecus_gelada ENSTGEG00000014509
macaca_mulatta ENSMMUG00000043781
macaca_fascicularis ENSMFAG00000007238
macaca_nemestrina ENSMNEG00000038610
chlorocebus_sabaeus ENSCSAG00000002726
cercocebus_atys ENSCATG00000038320
colobus_angolensis_palliatus ENSCANG00000039365
piliocolobus_tephrosceles ENSPTEG00000021765
rhinopithecus_bieti ENSRBIG00000030343
rhinopithecus_roxellana ENSRROG00000035721
rhinopithecus_roxellana ENSRROG00000041521
rhinopithecus_bieti ENSRBIG00000041845
