poecilia_mexicana ENSPMEG00000023399
poecilia_latipinna ENSPLAG00000018801
xiphophorus_maculatus ENSXMAG00000026900
xiphophorus_couchianus ENSXCOG00000003317
fundulus_heteroclitus ENSFHEG00000018801
kryptolebias_marmoratus ENSKMAG00000001620
acanthochromis_polyacanthus ENSAPOG00000001903
mastacembelus_armatus ENSMAMG00000001674
anabas_testudineus ENSATEG00000011198
labrus_bergylta ENSLBEG00000002938
takifugu_rubripes ENSTRUG00000023515
monopterus_albus ENSMALG00000005576
esox_lucius ENSELUG00000002054
chelonoidis_abingdonii ENSCABG00000001032
apteryx_rowi ENSARWG00000000388
salvator_merianae ENSSMRG00000001103
pogona_vitticeps ENSPVIG00000000667
