paramormyrops_kingsleyae ENSPKIG00000020129
latimeria_chalumnae ENSLACG00000002787
xenopus_tropicalis ENSXETG00000027024
lepisosteus_oculatus ENSLOCG00000011220
ictalurus_punctatus ENSIPUG00000005347
astyanax_mexicanus ENSAMXG00000014690
danio_rerio ENSDARG00000034291
fundulus_heteroclitus ENSFHEG00000007607
oryzias_melastigma ENSOMEG00000009843
monopterus_albus ENSMALG00000004503
mola_mola ENSMMOG00000004385
takifugu_rubripes ENSTRUG00000018067
xiphophorus_couchianus ENSXCOG00000001591
xiphophorus_maculatus ENSXMAG00000005141
poecilia_formosa ENSPFOG00000001911
poecilia_mexicana ENSPMEG00000022104
poecilia_latipinna ENSPLAG00000003255
gambusia_affinis ENSGAFG00000012939
kryptolebias_marmoratus ENSKMAG00000011480
cyprinodon_variegatus ENSCVAG00000022561
anabas_testudineus ENSATEG00000013933
tetraodon_nigroviridis ENSTNIG00000006459
gasterosteus_aculeatus ENSGACG00000016123
oryzias_latipes ENSORLG00000027763
oryzias_latipes_asm223469v1 ENSORLG00015014018
oryzias_latipes ENSORLG00020007251
haplochromis_burtoni ENSHBUG00000007271
maylandia_zebra ENSMZEG00005002074
astatotilapia_calliptera ENSACLG00000027921
pundamilia_nyererei ENSPNYG00000004836
neolamprologus_brichardi ENSNBRG00000006627
oreochromis_niloticus ENSONIG00000007508
amphilophus_citrinellus ENSACIG00000014406
seriola_lalandi_dorsalis ENSSLDG00000004788
acanthochromis_polyacanthus ENSAPOG00000024046
stegastes_partitus ENSSPAG00000015034
amphiprion_percula ENSAPEG00000020900
labrus_bergylta ENSLBEG00000027894
scophthalmus_maximus ENSSMAG00000008688
amphiprion_ocellaris ENSAOCG00000019804
labrus_bergylta ENSLBEG00000005693
hippocampus_comes ENSHCOG00000003192
gadus_morhua ENSGMOG00000016997
esox_lucius ENSELUG00000024481
esox_lucius ENSELUG00000002393
scleropages_formosus ENSSFOG00015015150
monodelphis_domestica ENSMODG00000020301
monodelphis_domestica ENSMODG00000009039
phascolarctos_cinereus ENSPCIG00000028650
sarcophilus_harrisii ENSSHAG00000013969
ornithorhynchus_anatinus ENSOANG00000004863
melopsittacus_undulatus ENSMUNG00000013857
anas_platyrhynchos_platyrhynchos ENSAPLG00000024574
serinus_canaria ENSSCAG00000008409
taeniopygia_guttata ENSTGUG00000002186
cyanistes_caeruleus ENSCCEG00000015842
calidris_pygmaea ENSCPGG00000019157
calidris_pygmaea ENSCPGG00000013612
serinus_canaria ENSSCAG00000002648
manacus_vitellinus ENSMVIG00005008975
ficedula_albicollis ENSFALG00000002006
calidris_pugnax ENSCPUG00000015191
apteryx_owenii ENSAOWG00000008500
apteryx_haastii ENSAHAG00000018336
apteryx_rowi ENSARWG00000007890
pelodiscus_sinensis ENSPSIG00000014221
parus_major ENSPMJG00000015847
lepidothrix_coronata ENSLCOG00000011355
lonchura_striata_domestica ENSLSDG00000009299
gallus_gallus ENSGALG00000014833
coturnix_japonica ENSCJPG00005007923
numida_meleagris ENSNMEG00000006112
anser_brachyrhynchus ENSABRG00000006230
dromaius_novaehollandiae ENSDNVG00000013147
crocodylus_porosus ENSCPRG00005015947
anolis_carolinensis ENSACAG00000010291
pogona_vitticeps ENSPVIG00000011512
notechis_scutatus ENSNSUG00000016784
sphenodon_punctatus ENSSPUG00000015267
chrysemys_picta_bellii ENSCPBG00000007225
gopherus_agassizii ENSGAGG00000021435
callithrix_jacchus ENSCJAG00000022921
otolemur_garnettii ENSOGAG00000028600
macaca_mulatta ENSMMUG00000045233
papio_anubis ENSPANG00000033094
theropithecus_gelada ENSTGEG00000009782
rhinopithecus_roxellana ENSRROG00000031347
pongo_abelii ENSPPYG00000015422
heterocephalus_glaber_male ENSHGLG00100021135
heterocephalus_glaber_female ENSHGLG00000021196
octodon_degus ENSODEG00000020393
rattus_norvegicus ENSRNOG00000034180
rattus_norvegicus ENSRNOG00000048958
rattus_norvegicus ENSRNOG00000033278
mus_spicilegus ENSMSIG00000031828
mus_pahari MGP_PahariEiJ_G0016016
marmota_marmota_marmota ENSMMMG00000017779
spermophilus_dauricus ENSSDAG00000005763
dipodomys_ordii ENSDORG00000008300
mandrillus_leucophaeus ENSMLEG00000041172
macaca_fascicularis ENSMFAG00000043057
rhinopithecus_bieti ENSRBIG00000038518
aotus_nancymaae ENSANAG00000031221
prolemur_simus ENSPSMG00000007885
propithecus_coquereli ENSPCOG00000025802
oryctolagus_cuniculus ENSOCUG00000029674
heterocephalus_glaber_male ENSHGLG00100019105
felis_catus ENSFCAG00000035948
ovis_aries ENSOARG00000004877
papio_anubis ENSPANG00000030362
chlorocebus_sabaeus ENSCSAG00000000498
piliocolobus_tephrosceles ENSPTEG00000021759
castor_canadensis ENSCCNG00000023155
rattus_norvegicus ENSRNOG00000033803
rhinopithecus_roxellana ENSRROG00000028965
rhinopithecus_bieti ENSRBIG00000036356
mandrillus_leucophaeus ENSMLEG00000024387
cebus_capucinus ENSCCAG00000021830
octodon_degus ENSODEG00000020488
nannospalax_galili ENSNGAG00000010899
