cyanistes_caeruleus ENSCCEG00000020252
ornithorhynchus_anatinus ENSOANG00000029057
lonchura_striata ENSLSDG00000017607
junco_hyemalis ENSJHYG00000008111
lepidothrix_coronata ENSLCOG00000002506
parus_major ENSPMJG00000015964
ficedula_albicollis ENSFALG00000003731
calidris_pugnax ENSCPUG00000012534
calidris_pygmaea ENSCPGG00000004210
calidris_pugnax ENSCPUG00000012535
melopsittacus_undulatus ENSMUNG00000010492
anser_brachyrhynchus ENSABRG00000001378
anas_platyrhynchos ENSAPLG00000020368
gallus_gallus ENSGALG00000016565
coturnix_japonica ENSCJPG00005012973
meleagris_gallopavo ENSMGAG00000014105
numida_meleagris ENSNMEG00000007339
apteryx_haastii ENSAHAG00000012961
apteryx_owenii ENSAOWG00000016986
apteryx_rowi ENSARWG00000018450
nothoprocta_perdicaria ENSNPEG00000008512
crocodylus_porosus ENSCPRG00005003216
chelonoidis_abingdonii ENSCABG00000015730
gopherus_agassizii ENSGAGG00000008351
chrysemys_picta ENSCPBG00000022315
pelodiscus_sinensis ENSPSIG00000012597
anolis_carolinensis ENSACAG00000002388
pogona_vitticeps ENSPVIG00000021817
salvator_merianae ENSSMRG00000012342
notechis_scutatus ENSNSUG00000005137
sphenodon_punctatus ENSSPUG00000009697
sphenodon_punctatus ENSSPUG00000009688
erinaceus_europaeus ENSEEUG00000009627
sorex_araneus ENSSARG00000002106
heterocephalus_glaber ENSHGLG00100000334
heterocephalus_glaber ENSHGLG00000000052
carlito_syrichta ENSTSYG00000035567
mus_spicilegus ENSMSIG00000018435
mus_spretus MGP_SPRETEiJ_G0020328
mus_musculus ENSMUSG00000022041
mus_caroli MGP_CAROLIEiJ_G0019436
mus_pahari MGP_PahariEiJ_G0030454
rattus_norvegicus ENSRNOG00000017424
meriones_unguiculatus ENSMUGG00000022911
cricetulus_griseus ENSCGRG00000004763
cricetulus_griseus ENSCGRG00015008854
cricetulus_griseus ENSCGRG00001025060
mesocricetus_auratus ENSMAUG00000009044
microtus_ochrogaster ENSMOCG00000019567
peromyscus_maniculatus ENSPEMG00000023959
nannospalax_galili ENSNGAG00000023099
jaculus_jaculus ENSJJAG00000018111
castor_canadensis ENSCCNG00000014899
dipodomys_ordii ENSDORG00000010203
marmota_marmota ENSMMMG00000013222
marmota_marmota ENSMMMG00000003918
spermophilus_dauricus ENSSDAG00000010904
ictidomys_tridecemlineatus ENSSTOG00000016060
oryctolagus_cuniculus ENSOCUG00000007679
ochotona_princeps ENSOPRG00000000558
chinchilla_lanigera ENSCLAG00000016813
octodon_degus ENSODEG00000008004
cavia_aperea ENSCAPG00000006144
cavia_porcellus ENSCPOG00000038123
heterocephalus_glaber ENSHGLG00100015508
heterocephalus_glaber ENSHGLG00000004833
fukomys_damarensis ENSFDAG00000018285
prolemur_simus ENSPSMG00000010720
microcebus_murinus ENSMICG00000007702
propithecus_coquereli ENSPCOG00000019897
otolemur_garnettii ENSOGAG00000033591
pan_troglodytes ENSPTRG00000020105
pan_paniscus ENSPPAG00000042024
gorilla_gorilla ENSGGOG00000015596
homo_sapiens ENSG00000120903
pongo_abelii ENSPPYG00000018464
nomascus_leucogenys ENSNLEG00000016309
cercocebus_atys ENSCATG00000031746
