chinchilla_lanigera ENSCLAG00000006013
cricetulus_griseus_crigri-picr ENSCGRG00015027420
callithrix_jacchus ENSCJAG00000016922
myotis_lucifugus ENSMLUG00000026273
myotis_lucifugus ENSMLUG00000007245
ursus_americanus ENSUAMG00000005731
pan_paniscus ENSPPAG00000037061
gorilla_gorilla ENSGGOG00000039796
aotus_nancymaae ENSANAG00000036827
castor_canadensis ENSCCNG00000024188
castor_canadensis ENSCCNG00000019878
bos_taurus ENSBTAG00000053838
bison_bison_bison ENSBBBG00000009748
echinops_telfairi ENSETEG00000015399
