hucho_hucho ENSHHUG00000002013
esox_lucius ENSELUG00000016450
takifugu_rubripes ENSTRUG00000004283
tetraodon_nigroviridis ENSTNIG00000007882
labrus_bergylta ENSLBEG00000019428
xiphophorus_maculatus ENSXMAG00000006945
xiphophorus_couchianus ENSXCOG00000009264
gambusia_affinis ENSGAFG00000008560
poecilia_formosa ENSPFOG00000013491
poecilia_mexicana ENSPMEG00000008223
poecilia_latipinna ENSPLAG00000019136
poecilia_reticulata ENSPREG00000002901
fundulus_heteroclitus ENSFHEG00000020035
kryptolebias_marmoratus ENSKMAG00000007364
oryzias_latipes ENSORLG00015007182
oryzias_latipes ENSORLG00020011590
oryzias_latipes ENSORLG00000009609
oryzias_melastigma ENSOMEG00000007546
cynoglossus_semilaevis ENSCSEG00000016803
cottoperca_gobio ENSCGOG00000018820
gasterosteus_aculeatus ENSGACG00000016395
hippocampus_comes ENSHCOG00000002217
mastacembelus_armatus ENSMAMG00000018445
monopterus_albus ENSMALG00000005069
anabas_testudineus ENSATEG00000002952
betta_splendens ENSBSLG00000017399
seriola_dumerili ENSSDUG00000005960
seriola_lalandi ENSSLDG00000006014
lates_calcarifer ENSLCAG00010002591
scophthalmus_maximus ENSSMAG00000011814
larimichthys_crocea ENSLCRG00005008411
mola_mola ENSMMOG00000017849
amphiprion_ocellaris ENSAOCG00000013479
amphiprion_percula ENSAPEG00000022923
acanthochromis_polyacanthus ENSAPOG00000019881
stegastes_partitus ENSSPAG00000020875
parambassis_ranga ENSPRNG00000023327
astatotilapia_calliptera ENSACLG00000015289
maylandia_zebra ENSMZEG00005008244
haplochromis_burtoni ENSHBUG00000003696
pundamilia_nyererei ENSPNYG00000001751
neolamprologus_brichardi ENSNBRG00000008137
oreochromis_niloticus ENSONIG00000018673
amphilophus_citrinellus ENSACIG00000008102
gouania_willdenowi ENSGWIG00000016906
gadus_morhua ENSGMOG00000016608
electrophorus_electricus ENSEEEG00000013516
astyanax_mexicanus ENSAMXG00000042073
astyanax_mexicanus ENSAMXG00005009810
pygocentrus_nattereri ENSPNAG00000002404
ictalurus_punctatus ENSIPUG00000010859
electrophorus_electricus ENSEEEG00000006895
danio_rerio ENSDARG00000098344
denticeps_clupeoides ENSDCDG00000018597
clupea_harengus ENSCHAG00000020817
paramormyrops_kingsleyae ENSPKIG00000024846
junco_hyemalis ENSJHYG00000008057
zonotrichia_albicollis ENSZALG00000004857
serinus_canaria ENSSCAG00000006279
ficedula_albicollis ENSFALG00000000831
lepidothrix_coronata ENSLCOG00000012405
melopsittacus_undulatus ENSMUNG00000002351
anas_platyrhynchos ENSAPLG00000002731
anser_brachyrhynchus ENSABRG00000013233
numida_meleagris ENSNMEG00000005288
calidris_pygmaea ENSCPGG00000013908
calidris_pugnax ENSCPUG00000014403
apteryx_haastii ENSAHAG00000008852
apteryx_owenii ENSAOWG00000006878
apteryx_rowi ENSARWG00000014196
dromaius_novaehollandiae ENSDNVG00000018812
chelonoidis_abingdonii ENSCABG00000022657
sphenodon_punctatus ENSSPUG00000004305
latimeria_chalumnae ENSLACG00000011256
equus_caballus ENSECAG00000017521
equus_asinus ENSEASG00005007164
myotis_lucifugus ENSMLUG00000027295
bos_indicus ENSBIXG00005008947
bos_indicus ENSBIXG00000018489
bos_taurus ENSBTAG00000009871
bos_mutus ENSBMUG00000010175
bos_mutus ENSBMUG00000023049
bos_taurus ENSBTAG00000050873
ovis_aries ENSOARG00000016208
capra_hircus ENSCHIG00000008749
sus_scrofa ENSSSCG00000028655
mustela_putorius ENSMPUG00000010592
neovison_vison ENSNVIG00000004960
ailuropoda_melanoleuca ENSAMEG00000015990
canis_lupus ENSCAFG00020003253
canis_lupus ENSCAFG00000028839
vulpes_vulpes ENSVVUG00000001705
