rhinopithecus_roxellana ENSRROG00000013818
piliocolobus_tephrosceles ENSPTEG00000012410
theropithecus_gelada ENSTGEG00000014591
macaca_mulatta ENSMMUG00000017407
rhinopithecus_bieti ENSRBIG00000027585
macaca_fascicularis ENSMFAG00000016768
macaca_nemestrina ENSMNEG00000037395
mandrillus_leucophaeus ENSMLEG00000009651
cercocebus_atys ENSCATG00000015047
pan_troglodytes ENSPTRG00000050406
pan_troglodytes ENSPTRG00000052333
pan_troglodytes ENSPTRG00000046358
pan_paniscus ENSPPAG00000024171
gorilla_gorilla ENSGGOG00000025927
pongo_abelii ENSPPYG00000020887
nomascus_leucogenys ENSNLEG00000029359
