amphiprion_percula ENSAPEG00000013199
amphiprion_ocellaris ENSAOCG00000010837
acanthochromis_polyacanthus ENSAPOG00000018303
stegastes_partitus ENSSPAG00000017863
astatotilapia_calliptera ENSACLG00000010788
maylandia_zebra ENSMZEG00005016024
pundamilia_nyererei ENSPNYG00000013649
haplochromis_burtoni ENSHBUG00000022347
neolamprologus_brichardi ENSNBRG00000016279
oreochromis_niloticus ENSONIG00000004233
amphilophus_citrinellus ENSACIG00000016541
scophthalmus_maximus ENSSMAG00000020823
monopterus_albus ENSMALG00000021216
mastacembelus_armatus ENSMAMG00000023646
anabas_testudineus ENSATEG00000011364
seriola_dumerili ENSSDUG00000016917
seriola_lalandi ENSSLDG00000024696
poecilia_formosa ENSPFOG00000018032
poecilia_mexicana ENSPMEG00000012901
poecilia_latipinna ENSPLAG00000010477
poecilia_reticulata ENSPREG00000002532
xiphophorus_maculatus ENSXMAG00000015492
xiphophorus_couchianus ENSXCOG00000008762
gambusia_affinis ENSGAFG00000010099
fundulus_heteroclitus ENSFHEG00000014663
cyprinodon_variegatus ENSCVAG00000009902
kryptolebias_marmoratus ENSKMAG00000007904
oryzias_latipes ENSORLG00000028269
oryzias_latipes ENSORLG00020011004
oryzias_latipes ENSORLG00015007487
oryzias_melastigma ENSOMEG00000006682
cynoglossus_semilaevis ENSCSEG00000001353
gasterosteus_aculeatus ENSGACG00000001477
labrus_bergylta ENSLBEG00000000931
takifugu_rubripes ENSTRUG00000021131
tetraodon_nigroviridis ENSTNIG00000001351
mola_mola ENSMMOG00000021675
periophthalmus_magnuspinnatus ENSPMGG00000010205
gadus_morhua ENSGMOG00000000992
esox_lucius ENSELUG00000002368
pygocentrus_nattereri ENSPNAG00000017278
astyanax_mexicanus ENSAMXG00000037834
danio_rerio ENSDARG00000053934
paramormyrops_kingsleyae ENSPKIG00000019695
scleropages_formosus ENSSFOG00015013356
apteryx_owenii ENSAOWG00000009181
apteryx_haastii ENSAHAG00000015497
apteryx_rowi ENSARWG00000018697
dromaius_novaehollandiae ENSDNVG00000019174
nothoprocta_perdicaria ENSNPEG00000005135
anser_brachyrhynchus ENSABRG00000019270
numida_meleagris ENSNMEG00000001254
lonchura_striata ENSLSDG00000014942
taeniopygia_guttata ENSTGUG00000002615
junco_hyemalis ENSJHYG00000016582
parus_major ENSPMJG00000014506
cyanistes_caeruleus ENSCCEG00000023144
ficedula_albicollis ENSFALG00000014664
melopsittacus_undulatus ENSMUNG00000001900
crocodylus_porosus ENSCPRG00005011811
gopherus_agassizii ENSGAGG00000009956
gopherus_agassizii ENSGAGG00000009958
chelonoidis_abingdonii ENSCABG00000015725
chrysemys_picta ENSCPBG00000019232
