fundulus_heteroclitus ENSFHEG00000008852
cyprinodon_variegatus ENSCVAG00000012288
gambusia_affinis ENSGAFG00000009090
xiphophorus_maculatus ENSXMAG00000028984
poecilia_reticulata ENSPREG00000012212
poecilia_formosa ENSPFOG00000022881
kryptolebias_marmoratus ENSKMAG00000018859
oryzias_latipes ENSORLG00000026429
oryzias_latipes ENSORLG00020002416
oryzias_latipes_asm223469v1 ENSORLG00015001033
oryzias_melastigma ENSOMEG00000011627
maylandia_zebra ENSMZEG00005009909
haplochromis_burtoni ENSHBUG00000019899
astatotilapia_calliptera ENSACLG00000012121
pundamilia_nyererei ENSPNYG00000018186
neolamprologus_brichardi ENSNBRG00000002056
cynoglossus_semilaevis ENSCSEG00000008566
scophthalmus_maximus ENSSMAG00000006117
takifugu_rubripes ENSTRUG00000023356
labrus_bergylta ENSLBEG00000005036
mola_mola ENSMMOG00000000741
mastacembelus_armatus ENSMAMG00000020754
anabas_testudineus ENSATEG00000019448
seriola_lalandi_dorsalis ENSSLDG00000005253
seriola_dumerili ENSSDUG00000002618
amphiprion_ocellaris ENSAOCG00000017573
acanthochromis_polyacanthus ENSAPOG00000005712
stegastes_partitus ENSSPAG00000017629
hippocampus_comes ENSHCOG00000018840
esox_lucius ENSELUG00000018864
pygocentrus_nattereri ENSPNAG00000003337
astyanax_mexicanus ENSAMXG00000031814
paramormyrops_kingsleyae ENSPKIG00000014726
scleropages_formosus ENSSFOG00015014584
