monodelphis_domestica ENSMODG00000003082
xenopus_tropicalis ENSXETG00000030014
gopherus_agassizii ENSGAGG00000008867
chelonoidis_abingdonii ENSCABG00000021532
chelonoidis_abingdonii ENSCABG00000021528
gopherus_agassizii ENSGAGG00000008842
chrysemys_picta ENSCPBG00000020867
crocodylus_porosus ENSCPRG00005002039
sphenodon_punctatus ENSSPUG00000004993
sphenodon_punctatus ENSSPUG00000004902
apteryx_rowi ENSARWG00000003534
dromaius_novaehollandiae ENSDNVG00000016730
xenopus_tropicalis ENSXETG00000031833
xenopus_tropicalis ENSXETG00000025543
seriola_lalandi ENSSLDG00000020096
seriola_dumerili ENSSDUG00000016437
scophthalmus_maximus ENSSMAG00000012374
pundamilia_nyererei ENSPNYG00000013688
haplochromis_burtoni ENSHBUG00000007369
maylandia_zebra ENSMZEG00005021113
neolamprologus_brichardi ENSNBRG00000015220
oreochromis_niloticus ENSONIG00000013722
amphilophus_citrinellus ENSACIG00000018045
amphiprion_ocellaris ENSAOCG00000022896
amphiprion_percula ENSAPEG00000013571
acanthochromis_polyacanthus ENSAPOG00000014835
stegastes_partitus ENSSPAG00000006261
tetraodon_nigroviridis ENSTNIG00000011544
takifugu_rubripes ENSTRUG00000016084
labrus_bergylta ENSLBEG00000022810
gadus_morhua ENSGMOG00000002924
esox_lucius ENSELUG00000006447
astatotilapia_calliptera ENSACLG00000002437
haplochromis_burtoni ENSHBUG00000003292
pundamilia_nyererei ENSPNYG00000006194
maylandia_zebra ENSMZEG00005008384
neolamprologus_brichardi ENSNBRG00000020160
oreochromis_niloticus ENSONIG00000015254
amphilophus_citrinellus ENSACIG00000011589
xiphophorus_maculatus ENSXMAG00000021580
gambusia_affinis ENSGAFG00000003849
poecilia_latipinna ENSPLAG00000005986
poecilia_formosa ENSPFOG00000022649
poecilia_mexicana ENSPMEG00000022429
poecilia_reticulata ENSPREG00000012027
cyprinodon_variegatus ENSCVAG00000008078
fundulus_heteroclitus ENSFHEG00000002435
amphiprion_ocellaris ENSAOCG00000023478
acanthochromis_polyacanthus ENSAPOG00000006945
stegastes_partitus ENSSPAG00000012426
seriola_dumerili ENSSDUG00000004693
seriola_lalandi ENSSLDG00000003635
scophthalmus_maximus ENSSMAG00000012611
mastacembelus_armatus ENSMAMG00000021896
anabas_testudineus ENSATEG00000018608
tetraodon_nigroviridis ENSTNIG00000000360
takifugu_rubripes ENSTRUG00000023210
hippocampus_comes ENSHCOG00000004364
esox_lucius ENSELUG00000002268
pygocentrus_nattereri ENSPNAG00000023511
scleropages_formosus ENSSFOG00015021919
lepisosteus_oculatus ENSLOCG00000003565
takifugu_rubripes ENSTRUG00000025140
takifugu_rubripes ENSTRUG00000020689
tetraodon_nigroviridis ENSTNIG00000011553
mola_mola ENSMMOG00000012586
mastacembelus_armatus ENSMAMG00000009386
monopterus_albus ENSMALG00000021092
seriola_dumerili ENSSDUG00000017070
seriola_lalandi ENSSLDG00000020144
maylandia_zebra ENSMZEG00005021200
pundamilia_nyererei ENSPNYG00000014665
astatotilapia_calliptera ENSACLG00000023135
haplochromis_burtoni ENSHBUG00000007428
neolamprologus_brichardi ENSNBRG00000015555
amphilophus_citrinellus ENSACIG00000020594
anabas_testudineus ENSATEG00000020964
fundulus_heteroclitus ENSFHEG00000006390
cyprinodon_variegatus ENSCVAG00000019912
poecilia_formosa ENSPFOG00000018238
poecilia_formosa ENSPFOG00000022735
poecilia_latipinna ENSPLAG00000014073
poecilia_mexicana ENSPMEG00000016793
poecilia_reticulata ENSPREG00000017199
gambusia_affinis ENSGAFG00000006851
xiphophorus_maculatus ENSXMAG00000021469
kryptolebias_marmoratus ENSKMAG00000002650
oryzias_latipes ENSORLG00020001550
oryzias_latipes ENSORLG00015001308
oryzias_melastigma ENSOMEG00000018713
amphiprion_ocellaris ENSAOCG00000023207
amphiprion_percula ENSAPEG00000013990
acanthochromis_polyacanthus ENSAPOG00000018286
stegastes_partitus ENSSPAG00000007732
labrus_bergylta ENSLBEG00000022677
periophthalmus_magnuspinnatus ENSPMGG00000004456
hippocampus_comes ENSHCOG00000016478
cynoglossus_semilaevis ENSCSEG00000003791
esox_lucius ENSELUG00000006353
pygocentrus_nattereri ENSPNAG00000015557
astyanax_mexicanus ENSAMXG00000017530
ictalurus_punctatus ENSIPUG00000022114
danio_rerio ENSDARG00000093318
scleropages_formosus ENSSFOG00015010936
lepisosteus_oculatus ENSLOCG00000003782
latimeria_chalumnae ENSLACG00000014851
seriola_dumerili ENSSDUG00000017169
seriola_lalandi ENSSLDG00000020178
scophthalmus_maximus ENSSMAG00000013728
anabas_testudineus ENSATEG00000020800
mastacembelus_armatus ENSMAMG00000009523
tetraodon_nigroviridis ENSTNIG00000011554
takifugu_rubripes ENSTRUG00000000526
labrus_bergylta ENSLBEG00000022542
amphiprion_percula ENSAPEG00000014038
amphiprion_ocellaris ENSAOCG00000023246
acanthochromis_polyacanthus ENSAPOG00000018377
stegastes_partitus ENSSPAG00000007830
maylandia_zebra ENSMZEG00005021215
astatotilapia_calliptera ENSACLG00000023191
pundamilia_nyererei ENSPNYG00000014724
haplochromis_burtoni ENSHBUG00000007480
oreochromis_niloticus ENSONIG00000013740
neolamprologus_brichardi ENSNBRG00000015632
amphilophus_citrinellus ENSACIG00000020704
poecilia_latipinna ENSPLAG00000014019
poecilia_reticulata ENSPREG00000017127
poecilia_formosa ENSPFOG00000022081
poecilia_mexicana ENSPMEG00000016695
poecilia_formosa ENSPFOG00000018311
xiphophorus_maculatus ENSXMAG00000027738
xiphophorus_couchianus ENSXCOG00000017155
gambusia_affinis ENSGAFG00000006824
cyprinodon_variegatus ENSCVAG00000019887
oryzias_latipes ENSORLG00020001581
oryzias_latipes ENSORLG00015001586
oryzias_melastigma ENSOMEG00000018785
periophthalmus_magnuspinnatus ENSPMGG00000004382
monopterus_albus ENSMALG00000021074
mola_mola ENSMMOG00000012589
cynoglossus_semilaevis ENSCSEG00000003820
gasterosteus_aculeatus ENSGACG00000008788
gadus_morhua ENSGMOG00000011794
esox_lucius ENSELUG00000002297
pygocentrus_nattereri ENSPNAG00000023232
ictalurus_punctatus ENSIPUG00000021371
astyanax_mexicanus ENSAMXG00000020736
