nothoprocta_perdicaria ENSNPEG00000013527
dromaius_novaehollandiae ENSDNVG00000012409
apteryx_owenii ENSAOWG00000005174
apteryx_haastii ENSAHAG00000010025
apteryx_rowi ENSARWG00000007673
lepidothrix_coronata ENSLCOG00000013532
manacus_vitellinus ENSMVIG00005012593
taeniopygia_guttata ENSTGUG00000005601
lonchura_striata_domestica ENSLSDG00000002663
junco_hyemalis ENSJHYG00000006234
zonotrichia_albicollis ENSZALG00000015628
ficedula_albicollis ENSFALG00000001559
cyanistes_caeruleus ENSCCEG00000003165
parus_major ENSPMJG00000006466
calidris_pugnax ENSCPUG00000013892
calidris_pygmaea ENSCPGG00000005247
taeniopygia_guttata ENSTGUG00000015733
serinus_canaria ENSSCAG00000003600
melopsittacus_undulatus ENSMUNG00000000125
anser_brachyrhynchus ENSABRG00000021626
anas_platyrhynchos_platyrhynchos ENSAPLG00000007109
gallus_gallus ENSGALG00000021520
coturnix_japonica ENSCJPG00005007014
meleagris_gallopavo ENSMGAG00000006893
numida_meleagris ENSNMEG00000009346
crocodylus_porosus ENSCPRG00005007515
gopherus_agassizii ENSGAGG00000010239
chelonoidis_abingdonii ENSCABG00000004673
chrysemys_picta_bellii ENSCPBG00000021146
pelodiscus_sinensis ENSPSIG00000008024
sphenodon_punctatus ENSSPUG00000017459
castor_canadensis ENSCCNG00000023445
dipodomys_ordii ENSDORG00000010902
mus_musculus ENSMUSG00000009214
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023336
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024253
mus_spicilegus ENSMSIG00000019546
mus_pahari MGP_PahariEiJ_G0024793
meriones_unguiculatus ENSMUGG00000004293
cricetulus_griseus_crigri-picr ENSCGRG00015011476
cricetulus_griseus_crigri ENSCGRG00000000297
cricetulus_griseus_chok1gshd ENSCGRG00001016124
mesocricetus_auratus ENSMAUG00000012295
peromyscus_maniculatus_bairdii ENSPEMG00000007427
microtus_ochrogaster ENSMOCG00000018718
nannospalax_galili ENSNGAG00000010978
jaculus_jaculus ENSJJAG00000011619
otolemur_garnettii ENSOGAG00000025687
erinaceus_europaeus ENSEEUG00000003398
ursus_americanus ENSUAMG00000018633
