ursus_americanus ENSUAMG00000007243
ursus_maritimus ENSUMAG00000012143
ailuropoda_melanoleuca ENSAMEG00000019437
neovison_vison ENSNVIG00000009877
mustela_putorius_furo ENSMPUG00000019573
canis_lupus_familiaris ENSCAFG00000005235
canis_lupus_dingo ENSCAFG00020005149
vulpes_vulpes ENSVVUG00000007084
panthera_pardus ENSPPRG00000021318
panthera_tigris_altaica ENSPTIG00000004764
felis_catus ENSFCAG00000043850
pteropus_vampyrus ENSPVAG00000017889
myotis_lucifugus ENSMLUG00000005074
ovis_aries ENSOARG00000004609
capra_hircus ENSCHIG00000009932
bos_mutus ENSBMUG00000007132
bos_taurus ENSBTAG00000013854
bison_bison_bison ENSBBBG00000022070
tursiops_truncatus ENSTTRG00000014472
sus_scrofa ENSSSCG00000011141
equus_asinus_asinus ENSEASG00005019171
equus_caballus ENSECAG00000030444
prolemur_simus ENSPSMG00000009316
otolemur_garnettii ENSOGAG00000006045
pan_troglodytes ENSPTRG00000002255
pan_paniscus ENSPPAG00000023856
homo_sapiens ENSG00000178372
pongo_abelii ENSPPYG00000002058
macaca_mulatta ENSMMUG00000017446
theropithecus_gelada ENSTGEG00000023842
chlorocebus_sabaeus ENSCSAG00000019051
piliocolobus_tephrosceles ENSPTEG00000022546
callithrix_jacchus ENSCJAG00000043208
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018195
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018196
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019047
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019048
mus_spicilegus ENSMSIG00000032209
mus_musculus ENSMUSG00000033765
mus_pahari MGP_PahariEiJ_G0019244
mus_pahari MGP_PahariEiJ_G0019243
mus_musculus ENSMUSG00000099269
rattus_norvegicus ENSRNOG00000028576
meriones_unguiculatus ENSMUGG00000000845
cricetulus_griseus_chok1gshd ENSCGRG00001003006
cricetulus_griseus_crigri-picr ENSCGRG00015015726
mesocricetus_auratus ENSMAUG00000008151
peromyscus_maniculatus_bairdii ENSPEMG00000024004
castor_canadensis ENSCCNG00000000775
urocitellus_parryii ENSUPAG00010021837
spermophilus_dauricus ENSSDAG00000002066
marmota_marmota_marmota ENSMMMG00000014419
oryctolagus_cuniculus ENSOCUG00000012622
tupaia_belangeri ENSTBEG00000010523
loxodonta_africana ENSLAFG00000004561
procavia_capensis ENSPCAG00000008864
choloepus_hoffmanni ENSCHOG00000002606
dasypus_novemcinctus ENSDNOG00000033561
