heterocephalus_glaber_female ENSHGLG00000017683
heterocephalus_glaber_male ENSHGLG00100018398
castor_canadensis ENSCCNG00000009516
oryctolagus_cuniculus ENSOCUG00000028995
ochotona_princeps ENSOPRG00000000330
pan_paniscus ENSPPAG00000042528
pan_troglodytes ENSPTRG00000051492
homo_sapiens ENSG00000197808
gorilla_gorilla ENSGGOG00000000955
pongo_abelii ENSPPYG00000029671
nomascus_leucogenys ENSNLEG00000028652
cercocebus_atys ENSCATG00000026207
mandrillus_leucophaeus ENSMLEG00000034628
theropithecus_gelada ENSTGEG00000007624
papio_anubis ENSPANG00000035152
macaca_fascicularis ENSMFAG00000001612
macaca_nemestrina ENSMNEG00000027981
macaca_mulatta ENSMMUG00000015121
chlorocebus_sabaeus ENSCSAG00000004198
piliocolobus_tephrosceles ENSPTEG00000018061
colobus_angolensis_palliatus ENSCANG00000029693
rhinopithecus_roxellana ENSRROG00000043378
rhinopithecus_bieti ENSRBIG00000025997
saimiri_boliviensis_boliviensis ENSSBOG00000029226
callithrix_jacchus ENSCJAG00000039963
cebus_capucinus ENSCCAG00000036712
aotus_nancymaae ENSANAG00000018232
carlito_syrichta ENSTSYG00000027958
prolemur_simus ENSPSMG00000001839
microcebus_murinus ENSMICG00000035164
propithecus_coquereli ENSPCOG00000017093
otolemur_garnettii ENSOGAG00000006740
aotus_nancymaae ENSANAG00000032467
ovis_aries ENSOARG00000005312
capra_hircus ENSCHIG00000023153
bos_mutus ENSBMUG00000018988
bison_bison_bison ENSBBBG00000022133
sus_scrofa ENSSSCG00000029875
tursiops_truncatus ENSTTRG00000010738
equus_caballus ENSECAG00000029714
equus_asinus_asinus ENSEASG00005002279
ursus_americanus ENSUAMG00000020567
ursus_maritimus ENSUMAG00000020866
canis_lupus_dingo ENSCAFG00020018092
canis_lupus_familiaris ENSCAFG00000031495
vulpes_vulpes ENSVVUG00000013565
neovison_vison ENSNVIG00000015987
mustela_putorius_furo ENSMPUG00000005602
panthera_pardus ENSPPRG00000000339
panthera_tigris_altaica ENSPTIG00000001364
felis_catus ENSFCAG00000037277
choloepus_hoffmanni ENSCHOG00000006297
dasypus_novemcinctus ENSDNOG00000007912
