peromyscus_maniculatus ENSPEMG00000026282
microtus_ochrogaster ENSMOCG00000019174
cricetulus_griseus ENSCGRG00001008450
cricetulus_griseus ENSCGRG00000010528
cricetulus_griseus ENSCGRG00015005236
mesocricetus_auratus ENSMAUG00000010993
mus_spicilegus ENSMSIG00000000347
mus_spretus MGP_SPRETEiJ_G0021123
mus_musculus ENSMUSG00000022987
mus_caroli MGP_CAROLIEiJ_G0020227
mus_pahari MGP_PahariEiJ_G0020230
rattus_norvegicus ENSRNOG00000032447
octodon_degus ENSODEG00000003266
chinchilla_lanigera ENSCLAG00000002291
cavia_porcellus ENSCPOG00000002770
heterocephalus_glaber ENSHGLG00100000142
heterocephalus_glaber ENSHGLG00000019468
fukomys_damarensis ENSFDAG00000007906
urocitellus_parryii ENSUPAG00010002416
marmota_marmota ENSMMMG00000022873
ictidomys_tridecemlineatus ENSSTOG00000001970
spermophilus_dauricus ENSSDAG00000015640
castor_canadensis ENSCCNG00000023942
dipodomys_ordii ENSDORG00000011810
jaculus_jaculus ENSJJAG00000023912
oryctolagus_cuniculus ENSOCUG00000005451
ochotona_princeps ENSOPRG00000014776
tupaia_belangeri ENSTBEG00000002375
pan_troglodytes ENSPTRG00000045476
pan_paniscus ENSPPAG00000043802
homo_sapiens ENSG00000167528
gorilla_gorilla ENSGGOG00000013643
pongo_abelii ENSPPYG00000004457
nomascus_leucogenys ENSNLEG00000017881
colobus_angolensis ENSCANG00000033168
piliocolobus_tephrosceles ENSPTEG00000011889
rhinopithecus_roxellana ENSRROG00000028995
rhinopithecus_bieti ENSRBIG00000032093
macaca_mulatta ENSMMUG00000014484
macaca_fascicularis ENSMFAG00000042792
macaca_nemestrina ENSMNEG00000044922
papio_anubis ENSPANG00000014075
mandrillus_leucophaeus ENSMLEG00000044259
chlorocebus_sabaeus ENSCSAG00000006278
cercocebus_atys ENSCATG00000043835
saimiri_boliviensis ENSSBOG00000031895
callithrix_jacchus ENSCJAG00000020716
cebus_capucinus ENSCCAG00000036303
aotus_nancymaae ENSANAG00000036405
carlito_syrichta ENSTSYG00000027886
microcebus_murinus ENSMICG00000007360
propithecus_coquereli ENSPCOG00000001947
prolemur_simus ENSPSMG00000006343
otolemur_garnettii ENSOGAG00000005519
erinaceus_europaeus ENSEEUG00000002648
sorex_araneus ENSSARG00000009301
panthera_pardus ENSPPRG00000009974
theropithecus_gelada ENSTGEG00000025051
echinops_telfairi ENSETEG00000017660
pteropus_vampyrus ENSPVAG00000003048
myotis_lucifugus ENSMLUG00000003695
ailuropoda_melanoleuca ENSAMEG00000008139
ursus_maritimus ENSUMAG00000006373
neovison_vison ENSNVIG00000002592
mustela_putorius ENSMPUG00000000169
canis_lupus ENSCAFG00000009010
canis_lupus ENSCAFG00020013275
vulpes_vulpes ENSVVUG00000019539
felis_catus ENSFCAG00000001972
panthera_tigris ENSPTIG00000013144
capra_hircus ENSCHIG00000023090
ovis_aries ENSOARG00000019279
bos_indicus ENSBIXG00000002899
bos_indicus ENSBIXG00005021295
bos_taurus ENSBTAG00000016496
bos_mutus ENSBMUG00000002281
bison_bison ENSBBBG00000003561
tursiops_truncatus ENSTTRG00000015952
vicugna_pacos ENSVPAG00000004478
sus_scrofa ENSSSCG00000021654
equus_asinus ENSEASG00005023524
equus_caballus ENSECAG00000022720
loxodonta_africana ENSLAFG00000029324
procavia_capensis ENSPCAG00000005206
dasypus_novemcinctus ENSDNOG00000014189
meriones_unguiculatus ENSMUGG00000000736
ornithorhynchus_anatinus ENSOANG00000001515
