mus_pahari MGP_PahariEiJ_G0028753
mus_spicilegus ENSMSIG00000012831
mus_musculus ENSMUSG00000078575
mus_spicilegus ENSMSIG00000009736
mus_spicilegus ENSMSIG00000009722
mus_musculus ENSMUSG00000078576
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027403
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027402
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027401
mus_musculus ENSMUSG00000073764
rattus_norvegicus ENSRNOG00000059975
mus_musculus ENSMUSG00000023263
cricetulus_griseus_crigri-picr ENSCGRG00015004018
