acanthochromis_polyacanthus ENSAPOG00000013778
amphiprion_percula ENSAPEG00000011072
seriola_lalandi_dorsalis ENSSLDG00000011738
oreochromis_niloticus ENSONIG00000005806
astyanax_mexicanus ENSAMXG00000030445
periophthalmus_magnuspinnatus ENSPMGG00000005479
notechis_scutatus ENSNSUG00000015610
pogona_vitticeps ENSPVIG00000011908
esox_lucius ENSELUG00000010771
scophthalmus_maximus ENSSMAG00000015388
ciona_intestinalis ENSCING00000019170
caenorhabditis_elegans_strain_n2 WBGene00004130
drosophila_melanogaster FBgn0086906
