cynoglossus_semilaevis ENSCSEG00000008394
hippocampus_comes ENSHCOG00000008693
periophthalmus_magnuspinnatus ENSPMGG00000012571
takifugu_rubripes ENSTRUG00000003361
tetraodon_nigroviridis ENSTNIG00000006731
gasterosteus_aculeatus ENSGACG00000004301
labrus_bergylta ENSLBEG00000027664
mola_mola ENSMMOG00000006921
mastacembelus_armatus ENSMAMG00000008337
monopterus_albus ENSMALG00000014768
anabas_testudineus ENSATEG00000009390
seriola_dumerili ENSSDUG00000022328
seriola_lalandi_dorsalis ENSSLDG00000020342
scophthalmus_maximus ENSSMAG00000002609
amphiprion_ocellaris ENSAOCG00000018437
amphiprion_percula ENSAPEG00000023949
acanthochromis_polyacanthus ENSAPOG00000015031
stegastes_partitus ENSSPAG00000009293
maylandia_zebra ENSMZEG00005009807
astatotilapia_calliptera ENSACLG00000026240
haplochromis_burtoni ENSHBUG00000012149
pundamilia_nyererei ENSPNYG00000021031
neolamprologus_brichardi ENSNBRG00000015512
oreochromis_niloticus ENSONIG00000019256
amphilophus_citrinellus ENSACIG00000016652
poecilia_formosa ENSPFOG00000016852
poecilia_latipinna ENSPLAG00000022169
poecilia_mexicana ENSPMEG00000007856
poecilia_reticulata ENSPREG00000014183
gambusia_affinis ENSGAFG00000016694
xiphophorus_maculatus ENSXMAG00000011524
fundulus_heteroclitus ENSFHEG00000010870
kryptolebias_marmoratus ENSKMAG00000003998
oryzias_latipes ENSORLG00000013915
oryzias_latipes ENSORLG00020001529
oryzias_melastigma ENSOMEG00000001466
esox_lucius ENSELUG00000003157
pygocentrus_nattereri ENSPNAG00000011371
astyanax_mexicanus ENSAMXG00000016727
ictalurus_punctatus ENSIPUG00000012521
danio_rerio ENSDARG00000102802
