pan_troglodytes ENSPTRG00000010822
pan_paniscus ENSPPAG00000031910
homo_sapiens ENSG00000168661
gorilla_gorilla ENSGGOG00000022515
pongo_abelii ENSPPYG00000009843
nomascus_leucogenys ENSNLEG00000010855
macaca_fascicularis ENSMFAG00000041169
macaca_mulatta ENSMMUG00000039188
macaca_nemestrina ENSMNEG00000042665
theropithecus_gelada ENSTGEG00000013834
cercocebus_atys ENSCATG00000043518
mandrillus_leucophaeus ENSMLEG00000039067
chlorocebus_sabaeus ENSCSAG00000004589
rhinopithecus_roxellana ENSRROG00000044442
rhinopithecus_bieti ENSRBIG00000044053
colobus_angolensis_palliatus ENSCANG00000032459
carlito_syrichta ENSTSYG00000029607
propithecus_coquereli ENSPCOG00000021909
microcebus_murinus ENSMICG00000028219
prolemur_simus ENSPSMG00000023912
equus_caballus ENSECAG00000005128
equus_asinus_asinus ENSEASG00005021396
ailuropoda_melanoleuca ENSAMEG00000000178
marmota_marmota_marmota ENSMMMG00000006356
spermophilus_dauricus ENSSDAG00000007661
panthera_pardus ENSPPRG00000000559
papio_anubis ENSPANG00000029420
dasypus_novemcinctus ENSDNOG00000042843
