dromaius_novaehollandiae ENSDNVG00000016180
nothoprocta_perdicaria ENSNPEG00000004583
calidris_pugnax ENSCPUG00000017208
apteryx_haastii ENSAHAG00000016248
apteryx_owenii ENSAOWG00000000950
apteryx_rowi ENSARWG00000006343
cyanistes_caeruleus ENSCCEG00000002486
lonchura_striata_domestica ENSLSDG00000010236
junco_hyemalis ENSJHYG00000005159
zonotrichia_albicollis ENSZALG00000012612
manacus_vitellinus ENSMVIG00005004956
calidris_pygmaea ENSCPGG00000014481
melopsittacus_undulatus ENSMUNG00000011071
chrysemys_picta_bellii ENSCPBG00000015943
salvator_merianae ENSSMRG00000016047
notechis_scutatus ENSNSUG00000019026
pygocentrus_nattereri ENSPNAG00000003396
astyanax_mexicanus ENSAMXG00000031419
