petromyzon_marinus ENSPMAG00000007123
eptatretus_burgeri ENSEBUG00000011645
taeniopygia_guttata ENSTGUG00000003905
ficedula_albicollis ENSFALG00000010860
junco_hyemalis ENSJHYG00000014763
serinus_canaria ENSSCAG00000013313
lonchura_striata_domestica ENSLSDG00000009079
zonotrichia_albicollis ENSZALG00000016215
cyanistes_caeruleus ENSCCEG00000023701
parus_major ENSPMJG00000008047
manacus_vitellinus ENSMVIG00005013815
lepidothrix_coronata ENSLCOG00000015566
calidris_pugnax ENSCPUG00000015876
calidris_pygmaea ENSCPGG00000000632
melopsittacus_undulatus ENSMUNG00000012614
gallus_gallus ENSGALG00000053823
coturnix_japonica ENSCJPG00005007535
numida_meleagris ENSNMEG00000011591
apteryx_owenii ENSAOWG00000017225
apteryx_rowi ENSARWG00000014467
apteryx_haastii ENSAHAG00000015621
dromaius_novaehollandiae ENSDNVG00000000614
nothoprocta_perdicaria ENSNPEG00000006435
sphenodon_punctatus ENSSPUG00000012337
phascolarctos_cinereus ENSPCIG00000006294
notamacropus_eugenii ENSMEUG00000015864
sarcophilus_harrisii ENSSHAG00000015884
monodelphis_domestica ENSMODG00000009224
capra_hircus ENSCHIG00000022962
ovis_aries ENSOARG00000002905
bos_mutus ENSBMUG00000001363
bison_bison_bison ENSBBBG00000010071
vicugna_pacos ENSVPAG00000001120
myotis_lucifugus ENSMLUG00000013688
chinchilla_lanigera ENSCLAG00000005678
cavia_porcellus ENSCPOG00000010838
heterocephalus_glaber_female ENSHGLG00000000464
heterocephalus_glaber_male ENSHGLG00100013330
fukomys_damarensis ENSFDAG00000021522
octodon_degus ENSODEG00000014611
spermophilus_dauricus ENSSDAG00000016272
cricetulus_griseus_crigri ENSCGRG00000006669
mesocricetus_auratus ENSMAUG00000013231
oryctolagus_cuniculus ENSOCUG00000017408
ochotona_princeps ENSOPRG00000010612
loxodonta_africana ENSLAFG00000031899
echinops_telfairi ENSETEG00000019248
panthera_tigris_altaica ENSPTIG00000019378
neovison_vison ENSNVIG00000013151
mustela_putorius_furo ENSMPUG00000017313
ailuropoda_melanoleuca ENSAMEG00000008639
panthera_pardus ENSPPRG00000000251
felis_catus ENSFCAG00000034991
equus_caballus ENSECAG00000040578
pteropus_vampyrus ENSPVAG00000012956
tursiops_truncatus ENSTTRG00000008003
sus_scrofa ENSSSCG00000029776
macaca_fascicularis ENSMFAG00000032469
macaca_nemestrina ENSMNEG00000037220
papio_anubis ENSPANG00000015977
mandrillus_leucophaeus ENSMLEG00000035129
theropithecus_gelada ENSTGEG00000028438
cercocebus_atys ENSCATG00000037497
chlorocebus_sabaeus ENSCSAG00000014340
colobus_angolensis_palliatus ENSCANG00000003913
piliocolobus_tephrosceles ENSPTEG00000024445
rhinopithecus_roxellana ENSRROG00000031214
pan_paniscus ENSPPAG00000043635
pan_troglodytes ENSPTRG00000039754
gorilla_gorilla ENSGGOG00000014759
homo_sapiens ENSG00000178761
pongo_abelii ENSPPYG00000006651
nomascus_leucogenys ENSNLEG00000014705
cebus_capucinus ENSCCAG00000031946
saimiri_boliviensis_boliviensis ENSSBOG00000024386
callithrix_jacchus ENSCJAG00000015600
aotus_nancymaae ENSANAG00000030839
carlito_syrichta ENSTSYG00000033624
microcebus_murinus ENSMICG00000044123
propithecus_coquereli ENSPCOG00000022971
otolemur_garnettii ENSOGAG00000002042
cricetulus_griseus_crigri-picr ENSCGRG00015024991
cricetulus_griseus_chok1gshd ENSCGRG00001020579
microtus_ochrogaster ENSMOCG00000019102
peromyscus_maniculatus_bairdii ENSPEMG00000025937
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033411
mus_musculus ENSMUSG00000032305
mus_spicilegus ENSMSIG00000008508
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032271
mus_pahari MGP_PahariEiJ_G0015137
rattus_norvegicus ENSRNOG00000054468
meriones_unguiculatus ENSMUGG00000006482
jaculus_jaculus ENSJJAG00000002497
dipodomys_ordii ENSDORG00000029727
urocitellus_parryii ENSUPAG00010005524
ictidomys_tridecemlineatus ENSSTOG00000020396
marmota_marmota_marmota ENSMMMG00000002711
ursus_maritimus ENSUMAG00000004927
ursus_americanus ENSUAMG00000026795
bos_taurus ENSBTAG00000005846
sorex_araneus ENSSARG00000003993
castor_canadensis ENSCCNG00000006144
nannospalax_galili ENSNGAG00000021496
macaca_mulatta ENSMMUG00000011676
rhinopithecus_bieti ENSRBIG00000019588
prolemur_simus ENSPSMG00000007571
canis_lupus_familiaris ENSCAFG00000017975
canis_lupus_dingo ENSCAFG00020003842
equus_asinus_asinus ENSEASG00005015751
dasypus_novemcinctus ENSDNOG00000039137
procavia_capensis ENSPCAG00000002616
ornithorhynchus_anatinus ENSOANG00000006530
gopherus_agassizii ENSGAGG00000016427
chelonoidis_abingdonii ENSCABG00000018095
chrysemys_picta_bellii ENSCPBG00000002792
pelodiscus_sinensis ENSPSIG00000014589
pogona_vitticeps ENSPVIG00000019611
notechis_scutatus ENSNSUG00000002608
anolis_carolinensis ENSACAG00000017095
salvator_merianae ENSSMRG00000000345
xenopus_tropicalis ENSXETG00000021130
latimeria_chalumnae ENSLACG00000001979
astyanax_mexicanus ENSAMXG00000020757
pygocentrus_nattereri ENSPNAG00000017748
ictalurus_punctatus ENSIPUG00000010755
danio_rerio ENSDARG00000104637
labrus_bergylta ENSLBEG00000006354
tetraodon_nigroviridis ENSTNIG00000011925
monopterus_albus ENSMALG00000000740
anabas_testudineus ENSATEG00000004284
seriola_lalandi_dorsalis ENSSLDG00000016348
seriola_dumerili ENSSDUG00000007775
scophthalmus_maximus ENSSMAG00000010309
mastacembelus_armatus ENSMAMG00000005558
cynoglossus_semilaevis ENSCSEG00000010990
mola_mola ENSMMOG00000015886
takifugu_rubripes ENSTRUG00000022531
hippocampus_comes ENSHCOG00000001532
periophthalmus_magnuspinnatus ENSPMGG00000000671
poecilia_formosa ENSPFOG00000015439
poecilia_mexicana ENSPMEG00000013318
poecilia_reticulata ENSPREG00000008392
poecilia_latipinna ENSPLAG00000008020
xiphophorus_maculatus ENSXMAG00000016809
xiphophorus_couchianus ENSXCOG00000012621
gambusia_affinis ENSGAFG00000009374
fundulus_heteroclitus ENSFHEG00000011847
cyprinodon_variegatus ENSCVAG00000001314
kryptolebias_marmoratus ENSKMAG00000002212
oryzias_latipes ENSORLG00020000534
oryzias_latipes_asm223469v1 ENSORLG00015016155
oryzias_latipes ENSORLG00000028616
oryzias_melastigma ENSOMEG00000018688
pundamilia_nyererei ENSPNYG00000009543
maylandia_zebra ENSMZEG00005005569
haplochromis_burtoni ENSHBUG00000000774
astatotilapia_calliptera ENSACLG00000019012
neolamprologus_brichardi ENSNBRG00000007775
oreochromis_niloticus ENSONIG00000002951
amphilophus_citrinellus ENSACIG00000006913
amphiprion_ocellaris ENSAOCG00000001040
amphiprion_percula ENSAPEG00000007693
acanthochromis_polyacanthus ENSAPOG00000005190
stegastes_partitus ENSSPAG00000020239
gadus_morhua ENSGMOG00000008138
esox_lucius ENSELUG00000016316
scleropages_formosus ENSSFOG00015016834
paramormyrops_kingsleyae ENSPKIG00000019629
lepisosteus_oculatus ENSLOCG00000015150
notamacropus_eugenii ENSMEUG00000002005
phascolarctos_cinereus ENSPCIG00000003348
sarcophilus_harrisii ENSSHAG00000018156
monodelphis_domestica ENSMODG00000008045
bos_taurus ENSBTAG00000008537
ovis_aries ENSOARG00000009268
bos_mutus ENSBMUG00000017854
bison_bison_bison ENSBBBG00000012067
pteropus_vampyrus ENSPVAG00000002594
equus_asinus_asinus ENSEASG00005004145
oryctolagus_cuniculus ENSOCUG00000026083
myotis_lucifugus ENSMLUG00000006884
cricetulus_griseus_crigri-picr ENSCGRG00015004443
cricetulus_griseus_chok1gshd ENSCGRG00001009710
