callorhinchus_milii ENSCMIG00000013908
latimeria_chalumnae ENSLACG00000013840
anser_brachyrhynchus ENSABRG00000002384
anas_platyrhynchos ENSAPLG00000006667
meleagris_gallopavo ENSMGAG00000008959
gallus_gallus ENSGALG00000008432
coturnix_japonica ENSCJPG00005013743
numida_meleagris ENSNMEG00000000333
calidris_pygmaea ENSCPGG00000017325
calidris_pugnax ENSCPUG00000013099
melopsittacus_undulatus ENSMUNG00000008241
serinus_canaria ENSSCAG00000014188
lonchura_striata ENSLSDG00000000451
zonotrichia_albicollis ENSZALG00000006170
junco_hyemalis ENSJHYG00000011130
ficedula_albicollis ENSFALG00000007949
parus_major ENSPMJG00000001422
cyanistes_caeruleus ENSCCEG00000013698
manacus_vitellinus ENSMVIG00005002581
lepidothrix_coronata ENSLCOG00000015678
apteryx_rowi ENSARWG00000004862
apteryx_haastii ENSAHAG00000010934
apteryx_owenii ENSAOWG00000017651
dromaius_novaehollandiae ENSDNVG00000002017
crocodylus_porosus ENSCPRG00005011583
chrysemys_picta ENSCPBG00000015582
chelonoidis_abingdonii ENSCABG00000012818
pelodiscus_sinensis ENSPSIG00000015193
sphenodon_punctatus ENSSPUG00000013637
pogona_vitticeps ENSPVIG00000023746
anolis_carolinensis ENSACAG00000010513
notechis_scutatus ENSNSUG00000007278
salvator_merianae ENSSMRG00000019723
xenopus_tropicalis ENSXETG00000005835
sorex_araneus ENSSARG00000000700
erinaceus_europaeus ENSEEUG00000006073
ursus_maritimus ENSUMAG00000006081
ursus_americanus ENSUAMG00000005929
mustela_putorius ENSMPUG00000002447
neovison_vison ENSNVIG00000015495
canis_lupus ENSCAFG00000012257
canis_lupus ENSCAFG00020002302
vulpes_vulpes ENSVVUG00000007272
panthera_pardus ENSPPRG00000001504
panthera_tigris ENSPTIG00000012982
felis_catus ENSFCAG00000007789
equus_asinus ENSEASG00005014278
equus_caballus ENSECAG00000000242
myotis_lucifugus ENSMLUG00000013541
pteropus_vampyrus ENSPVAG00000004838
tursiops_truncatus ENSTTRG00000008493
sus_scrofa ENSSSCG00000024437
bos_indicus ENSBIXG00000023936
bos_taurus ENSBTAG00000020106
bos_indicus ENSBIXG00000011267
bos_indicus ENSBIXG00005019978
bos_taurus ENSBTAG00000036111
bos_indicus ENSBIXG00005006041
bos_mutus ENSBMUG00000020318
bison_bison ENSBBBG00000015302
capra_hircus ENSCHIG00000018814
vicugna_pacos ENSVPAG00000000394
castor_canadensis ENSCCNG00000014756
dipodomys_ordii ENSDORG00000004640
cricetulus_griseus ENSCGRG00015002346
cricetulus_griseus ENSCGRG00001011476
cricetulus_griseus ENSCGRG00000014738
mesocricetus_auratus ENSMAUG00000021138
microtus_ochrogaster ENSMOCG00000014484
peromyscus_maniculatus ENSPEMG00000006895
mus_spretus MGP_SPRETEiJ_G0021475
mus_musculus ENSMUSG00000022841
mus_spicilegus ENSMSIG00000013145
mus_caroli MGP_CAROLIEiJ_G0020578
mus_pahari MGP_PahariEiJ_G0016282
rattus_norvegicus ENSRNOG00000001709
meriones_unguiculatus ENSMUGG00000003978
nannospalax_galili ENSNGAG00000022188
jaculus_jaculus ENSJJAG00000024086
ictidomys_tridecemlineatus ENSSTOG00000008273
spermophilus_dauricus ENSSDAG00000017993
marmota_marmota ENSMMMG00000006465
heterocephalus_glaber ENSHGLG00100008145
heterocephalus_glaber ENSHGLG00000016752
heterocephalus_glaber ENSHGLG00000000915
heterocephalus_glaber ENSHGLG00100015750
fukomys_damarensis ENSFDAG00000009808
octodon_degus ENSODEG00000012988
chinchilla_lanigera ENSCLAG00000014315
cavia_porcellus ENSCPOG00000012463
oryctolagus_cuniculus ENSOCUG00000004556
ochotona_princeps ENSOPRG00000005585
pan_troglodytes ENSPTRG00000015682
pan_paniscus ENSPPAG00000035664
gorilla_gorilla ENSGGOG00000007445
homo_sapiens ENSG00000161203
pongo_abelii ENSPPYG00000014346
nomascus_leucogenys ENSNLEG00000006139
macaca_fascicularis ENSMFAG00000024802
macaca_mulatta ENSMMUG00000006557
macaca_nemestrina ENSMNEG00000037624
cercocebus_atys ENSCATG00000042400
mandrillus_leucophaeus ENSMLEG00000037216
papio_anubis ENSPANG00000012299
theropithecus_gelada ENSTGEG00000023782
chlorocebus_sabaeus ENSCSAG00000013562
colobus_angolensis ENSCANG00000028216
piliocolobus_tephrosceles ENSPTEG00000027081
rhinopithecus_roxellana ENSRROG00000036642
rhinopithecus_bieti ENSRBIG00000009213
saimiri_boliviensis ENSSBOG00000033126
saimiri_boliviensis ENSSBOG00000012144
cebus_capucinus ENSCCAG00000025069
callithrix_jacchus ENSCJAG00000012998
aotus_nancymaae ENSANAG00000035232
carlito_syrichta ENSTSYG00000006101
microcebus_murinus ENSMICG00000048935
prolemur_simus ENSPSMG00000021479
propithecus_coquereli ENSPCOG00000027377
otolemur_garnettii ENSOGAG00000012286
tupaia_belangeri ENSTBEG00000011500
choloepus_hoffmanni ENSCHOG00000007861
dasypus_novemcinctus ENSDNOG00000015738
loxodonta_africana ENSLAFG00000014784
phascolarctos_cinereus ENSPCIG00000025628
vombatus_ursinus ENSVURG00010023096
notamacropus_eugenii ENSMEUG00000002558
notamacropus_eugenii ENSMEUG00000010183
sarcophilus_harrisii ENSSHAG00000002742
monodelphis_domestica ENSMODG00000003303
astyanax_mexicanus ENSAMXG00000014011
astyanax_mexicanus ENSAMXG00005019397
