meriones_unguiculatus ENSMUGG00000022454
mus_spicilegus ENSMSIG00000028948
cricetulus_griseus_chok1gshd ENSCGRG00001009300
cricetulus_griseus_crigri-picr ENSCGRG00015020930
cricetulus_griseus_crigri ENSCGRG00000013787
mesocricetus_auratus ENSMAUG00000009325
peromyscus_maniculatus_bairdii ENSPEMG00000026105
nannospalax_galili ENSNGAG00000021557
ictidomys_tridecemlineatus ENSSTOG00000025960
heterocephalus_glaber_male ENSHGLG00100018228
heterocephalus_glaber_female ENSHGLG00000007088
chinchilla_lanigera ENSCLAG00000006339
octodon_degus ENSODEG00000001993
