lepidothrix_coronata ENSLCOG00000009312
manacus_vitellinus ENSMVIG00005013982
lonchura_striata_domestica ENSLSDG00000009211
serinus_canaria ENSSCAG00000010366
zonotrichia_albicollis ENSZALG00000015097
junco_hyemalis ENSJHYG00000003128
ficedula_albicollis ENSFALG00000005906
cyanistes_caeruleus ENSCCEG00000013916
parus_major ENSPMJG00000019789
melopsittacus_undulatus ENSMUNG00000002574
calidris_pugnax ENSCPUG00000019828
calidris_pygmaea ENSCPGG00000007900
anser_brachyrhynchus ENSABRG00000012470
anas_platyrhynchos_platyrhynchos ENSAPLG00000004418
gallus_gallus ENSGALG00000049567
coturnix_japonica ENSCJPG00005016276
numida_meleagris ENSNMEG00000000121
apteryx_haastii ENSAHAG00000010892
apteryx_rowi ENSARWG00000012356
apteryx_owenii ENSAOWG00000009462
dromaius_novaehollandiae ENSDNVG00000002842
nothoprocta_perdicaria ENSNPEG00000010864
crocodylus_porosus ENSCPRG00005013061
gopherus_agassizii ENSGAGG00000003712
chelonoidis_abingdonii ENSCABG00000022468
chrysemys_picta_bellii ENSCPBG00000015815
pelodiscus_sinensis ENSPSIG00000016901
pogona_vitticeps ENSPVIG00000009085
anolis_carolinensis ENSACAG00000014876
notechis_scutatus ENSNSUG00000008291
salvator_merianae ENSSMRG00000002248
sphenodon_punctatus ENSSPUG00000007974
bos_mutus ENSBMUG00000012144
bos_taurus ENSBTAG00000015763
bison_bison_bison ENSBBBG00000024113
capra_hircus ENSCHIG00000026957
ovis_aries ENSOARG00000016797
tursiops_truncatus ENSTTRG00000001200
sus_scrofa ENSSSCG00000029709
vicugna_pacos ENSVPAG00000004099
vicugna_pacos ENSVPAG00000002417
equus_asinus_asinus ENSEASG00005012728
equus_caballus ENSECAG00000021504
pteropus_vampyrus ENSPVAG00000012730
myotis_lucifugus ENSMLUG00000016289
ursus_americanus ENSUAMG00000028048
ursus_maritimus ENSUMAG00000008155
ailuropoda_melanoleuca ENSAMEG00000009064
canis_lupus_familiaris ENSCAFG00000032628
canis_lupus_dingo ENSCAFG00020008581
vulpes_vulpes ENSVVUG00000025490
panthera_pardus ENSPPRG00000006950
panthera_tigris_altaica ENSPTIG00000018702
felis_catus ENSFCAG00000028001
erinaceus_europaeus ENSEEUG00000010868
sorex_araneus ENSSARG00000013911
mus_musculus ENSMUSG00000112920
mus_musculus ENSMUSG00000069825
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017532
mus_spicilegus ENSMSIG00000011676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016695
mus_pahari MGP_PahariEiJ_G0017828
rattus_norvegicus ENSRNOG00000037307
meriones_unguiculatus ENSMUGG00000020433
peromyscus_maniculatus_bairdii ENSPEMG00000007961
microtus_ochrogaster ENSMOCG00000022654
cricetulus_griseus_crigri-picr ENSCGRG00015021390
cricetulus_griseus_crigri ENSCGRG00000015409
cricetulus_griseus_chok1gshd ENSCGRG00001018572
mesocricetus_auratus ENSMAUG00000017890
nannospalax_galili ENSNGAG00000012216
jaculus_jaculus ENSJJAG00000022477
castor_canadensis ENSCCNG00000007791
chinchilla_lanigera ENSCLAG00000013059
octodon_degus ENSODEG00000016463
cavia_porcellus ENSCPOG00000002324
heterocephalus_glaber_male ENSHGLG00100001890
fukomys_damarensis ENSFDAG00000005683
spermophilus_dauricus ENSSDAG00000000160
urocitellus_parryii ENSUPAG00010021719
ictidomys_tridecemlineatus ENSSTOG00000022048
marmota_marmota_marmota ENSMMMG00000019624
oryctolagus_cuniculus ENSOCUG00000011252
ochotona_princeps ENSOPRG00000016836
tupaia_belangeri ENSTBEG00000005223
homo_sapiens ENSG00000141255
gorilla_gorilla ENSGGOG00000001869
pan_troglodytes ENSPTRG00000008567
pan_paniscus ENSPPAG00000038424
pongo_abelii ENSPPYG00000007812
nomascus_leucogenys ENSNLEG00000017231
papio_anubis ENSPANG00000024452
theropithecus_gelada ENSTGEG00000016334
cercocebus_atys ENSCATG00000017709
mandrillus_leucophaeus ENSMLEG00000037458
macaca_mulatta ENSMMUG00000011058
macaca_fascicularis ENSMFAG00000033957
macaca_nemestrina ENSMNEG00000034942
chlorocebus_sabaeus ENSCSAG00000013730
rhinopithecus_bieti ENSRBIG00000037084
rhinopithecus_roxellana ENSRROG00000008686
piliocolobus_tephrosceles ENSPTEG00000008732
colobus_angolensis_palliatus ENSCANG00000033788
cebus_capucinus ENSCCAG00000019824
saimiri_boliviensis_boliviensis ENSSBOG00000032068
callithrix_jacchus ENSCJAG00000019283
callithrix_jacchus ENSCJAG00000033387
aotus_nancymaae ENSANAG00000034559
carlito_syrichta ENSTSYG00000010786
propithecus_coquereli ENSPCOG00000026425
microcebus_murinus ENSMICG00000015662
prolemur_simus ENSPSMG00000018047
loxodonta_africana ENSLAFG00000013196
procavia_capensis ENSPCAG00000011653
echinops_telfairi ENSETEG00000014628
sarcophilus_harrisii ENSSHAG00000003224
monodelphis_domestica ENSMODG00000027378
phascolarctos_cinereus ENSPCIG00000019994
ornithorhynchus_anatinus ENSOANG00000020429
latimeria_chalumnae ENSLACG00000022096
scleropages_formosus ENSSFOG00015014797
paramormyrops_kingsleyae ENSPKIG00000019766
acanthochromis_polyacanthus ENSAPOG00000015200
amphiprion_percula ENSAPEG00000009701
stegastes_partitus ENSSPAG00000023439
amphilophus_citrinellus ENSACIG00000015548
kryptolebias_marmoratus ENSKMAG00000011799
poecilia_latipinna ENSPLAG00000022403
pundamilia_nyererei ENSPNYG00000023054
maylandia_zebra ENSMZEG00005013586
neolamprologus_brichardi ENSNBRG00000012343
mola_mola ENSMMOG00000006524
takifugu_rubripes ENSTRUG00000020173
mastacembelus_armatus ENSMAMG00000008179
hippocampus_comes ENSHCOG00000010358
cynoglossus_semilaevis ENSCSEG00000015520
haplochromis_burtoni ENSHBUG00000021204
astatotilapia_calliptera ENSACLG00000009843
oreochromis_niloticus ENSONIG00000001723
amphiprion_ocellaris ENSAOCG00000023049
poecilia_formosa ENSPFOG00000023352
poecilia_reticulata ENSPREG00000005711
poecilia_mexicana ENSPMEG00000008188
gambusia_affinis ENSGAFG00000013557
fundulus_heteroclitus ENSFHEG00000006064
oryzias_latipes_asm223469v1 ENSORLG00015002351
oryzias_latipes ENSORLG00000025822
oryzias_latipes ENSORLG00020019617
oryzias_melastigma ENSOMEG00000008519
labrus_bergylta ENSLBEG00000003094
monopterus_albus ENSMALG00000014510
scophthalmus_maximus ENSSMAG00000019822
seriola_dumerili ENSSDUG00000016342
seriola_lalandi_dorsalis ENSSLDG00000018829
anabas_testudineus ENSATEG00000007711
periophthalmus_magnuspinnatus ENSPMGG00000017954
esox_lucius ENSELUG00000022891
astyanax_mexicanus ENSAMXG00000038823
pygocentrus_nattereri ENSPNAG00000017045
ictalurus_punctatus ENSIPUG00000024074
danio_rerio ENSDARG00000098537
lepisosteus_oculatus ENSLOCG00000003633
