poecilia_latipinna ENSPLAG00000003886
poecilia_mexicana ENSPMEG00000010166
poecilia_reticulata ENSPREG00000015861
fundulus_heteroclitus ENSFHEG00000016302
kryptolebias_marmoratus ENSKMAG00000022199
oryzias_latipes ENSORLG00020017438
maylandia_zebra ENSMZEG00005004842
haplochromis_burtoni ENSHBUG00000010951
astatotilapia_calliptera ENSACLG00000027229
pundamilia_nyererei ENSPNYG00000001091
amphilophus_citrinellus ENSACIG00000023743
scophthalmus_maximus ENSSMAG00000003239
monopterus_albus ENSMALG00000021089
mola_mola ENSMMOG00000015415
hippocampus_comes ENSHCOG00000010312
