poecilia_latipinna ENSPLAG00000019761
poecilia_reticulata ENSPREG00000005193
xiphophorus_couchianus ENSXCOG00000008324
haplochromis_burtoni ENSHBUG00000003895
pundamilia_nyererei ENSPNYG00000011821
astatotilapia_calliptera ENSACLG00000011959
acanthochromis_polyacanthus ENSAPOG00000007466
mastacembelus_armatus ENSMAMG00000019107
monopterus_albus ENSMALG00000000971
seriola_dumerili ENSSDUG00000015190
labrus_bergylta ENSLBEG00000000209
labrus_bergylta ENSLBEG00000000236
seriola_dumerili ENSSDUG00000015184
