chrysemys_picta_bellii ENSCPBG00000023169
chelonoidis_abingdonii ENSCABG00000020802
pelodiscus_sinensis ENSPSIG00000001068
crocodylus_porosus ENSCPRG00005013552
anolis_carolinensis ENSACAG00000024978
pogona_vitticeps ENSPVIG00000018255
notechis_scutatus ENSNSUG00000010636
salvator_merianae ENSSMRG00000006938
phascolarctos_cinereus ENSPCIG00000023069
monodelphis_domestica ENSMODG00000008602
sarcophilus_harrisii ENSSHAG00000018288
ailuropoda_melanoleuca ENSAMEG00000008946
ursus_americanus ENSUAMG00000018538
mustela_putorius_furo ENSMPUG00000008914
neovison_vison ENSNVIG00000015031
canis_lupus_familiaris ENSCAFG00000006550
canis_lupus_dingo ENSCAFG00020021380
vulpes_vulpes ENSVVUG00000026177
felis_catus ENSFCAG00000008853
panthera_pardus ENSPPRG00000004324
capra_hircus ENSCHIG00000001671
ovis_aries ENSOARG00000013892
bos_taurus ENSBTAG00000002965
bos_mutus ENSBMUG00000025034
sus_scrofa ENSSSCG00000008124
macaca_mulatta ENSMMUG00000000006
macaca_nemestrina ENSMNEG00000043432
macaca_fascicularis ENSMFAG00000040926
papio_anubis ENSPANG00000023239
theropithecus_gelada ENSTGEG00000009792
mandrillus_leucophaeus ENSMLEG00000041334
cercocebus_atys ENSCATG00000038490
chlorocebus_sabaeus ENSCSAG00000017358
colobus_angolensis_palliatus ENSCANG00000039119
piliocolobus_tephrosceles ENSPTEG00000001537
rhinopithecus_roxellana ENSRROG00000039929
rhinopithecus_bieti ENSRBIG00000036661
pan_troglodytes ENSPTRG00000048188
pan_paniscus ENSPPAG00000033567
gorilla_gorilla ENSGGOG00000017067
homo_sapiens ENSG00000163121
pongo_abelii ENSPPYG00000012071
nomascus_leucogenys ENSNLEG00000033432
saimiri_boliviensis_boliviensis ENSSBOG00000032794
cebus_capucinus ENSCCAG00000029139
callithrix_jacchus ENSCJAG00000007758
aotus_nancymaae ENSANAG00000023753
carlito_syrichta ENSTSYG00000033936
propithecus_coquereli ENSPCOG00000019560
prolemur_simus ENSPSMG00000021875
microcebus_murinus ENSMICG00000012532
otolemur_garnettii ENSOGAG00000002782
dipodomys_ordii ENSDORG00000012777
castor_canadensis ENSCCNG00000021386
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014836
mus_musculus ENSMUSG00000047180
mus_spicilegus ENSMSIG00000005348
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014032
mus_pahari MGP_PahariEiJ_G0027278
rattus_norvegicus ENSRNOG00000015366
meriones_unguiculatus ENSMUGG00000022683
cricetulus_griseus_crigri ENSCGRG00000018182
cricetulus_griseus_chok1gshd ENSCGRG00001005988
cricetulus_griseus_crigri-picr ENSCGRG00015015528
microtus_ochrogaster ENSMOCG00000018020
peromyscus_maniculatus_bairdii ENSPEMG00000008260
nannospalax_galili ENSNGAG00000023685
jaculus_jaculus ENSJJAG00000014384
marmota_marmota_marmota ENSMMMG00000000637
urocitellus_parryii ENSUPAG00010017193
heterocephalus_glaber_female ENSHGLG00000005829
heterocephalus_glaber_male ENSHGLG00100017683
chinchilla_lanigera ENSCLAG00000004106
cavia_porcellus ENSCPOG00000025548
octodon_degus ENSODEG00000006502
equus_caballus ENSECAG00000007132
equus_asinus_asinus ENSEASG00005001708
oryctolagus_cuniculus ENSOCUG00000006028
dasypus_novemcinctus ENSDNOG00000035055
panthera_tigris_altaica ENSPTIG00000012607
myotis_lucifugus ENSMLUG00000029384
loxodonta_africana ENSLAFG00000032560
latimeria_chalumnae ENSLACG00000005621
oryzias_latipes_asm223469v1 ENSORLG00015020468
oryzias_latipes ENSORLG00020005760
cyprinodon_variegatus ENSCVAG00000020613
labrus_bergylta ENSLBEG00000003587
hippocampus_comes ENSHCOG00000011960
