urocitellus_parryii ENSUPAG00010010610
ictidomys_tridecemlineatus ENSSTOG00000010343
marmota_marmota_marmota ENSMMMG00000005553
castor_canadensis ENSCCNG00000015838
mus_spicilegus ENSMSIG00000014170
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029625
mus_musculus ENSMUSG00000049409
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028614
mus_pahari MGP_PahariEiJ_G0022351
rattus_norvegicus ENSRNOG00000009556
meriones_unguiculatus ENSMUGG00000007696
cricetulus_griseus_chok1gshd ENSCGRG00001013215
cricetulus_griseus_crigri-picr ENSCGRG00015010716
cricetulus_griseus_crigri ENSCGRG00000006445
mesocricetus_auratus ENSMAUG00000001970
peromyscus_maniculatus_bairdii ENSPEMG00000016141
microtus_ochrogaster ENSMOCG00000016639
nannospalax_galili ENSNGAG00000003718
jaculus_jaculus ENSJJAG00000012059
periophthalmus_magnuspinnatus ENSPMGG00000001283
latimeria_chalumnae ENSLACG00000018377
xenopus_tropicalis ENSXETG00000011423
scleropages_formosus ENSSFOG00015005474
paramormyrops_kingsleyae ENSPKIG00000018911
eptatretus_burgeri ENSEBUG00000014347
