calidris_pygmaea ENSCPGG00000006673
calidris_pugnax ENSCPUG00000015032
melopsittacus_undulatus ENSMUNG00000010756
lepidothrix_coronata ENSLCOG00000015766
manacus_vitellinus ENSMVIG00005009986
junco_hyemalis ENSJHYG00000017912
zonotrichia_albicollis ENSZALG00000005444
serinus_canaria ENSSCAG00000008058
lonchura_striata_domestica ENSLSDG00000007835
taeniopygia_guttata ENSTGUG00000012721
cyanistes_caeruleus ENSCCEG00000000242
parus_major ENSPMJG00000008581
ficedula_albicollis ENSFALG00000006976
anser_brachyrhynchus ENSABRG00000002827
anas_platyrhynchos_platyrhynchos ENSAPLG00000012238
gallus_gallus ENSGALG00000015969
meleagris_gallopavo ENSMGAG00000000924
coturnix_japonica ENSCJPG00005007103
numida_meleagris ENSNMEG00000015024
apteryx_haastii ENSAHAG00000016151
apteryx_owenii ENSAOWG00000016873
apteryx_rowi ENSARWG00000013092
dromaius_novaehollandiae ENSDNVG00000004240
nothoprocta_perdicaria ENSNPEG00000009805
crocodylus_porosus ENSCPRG00005013041
gopherus_agassizii ENSGAGG00000025321
chelonoidis_abingdonii ENSCABG00000015983
chrysemys_picta_bellii ENSCPBG00000023994
pelodiscus_sinensis ENSPSIG00000002259
pogona_vitticeps ENSPVIG00000019422
anolis_carolinensis ENSACAG00000008382
notechis_scutatus ENSNSUG00000006270
salvator_merianae ENSSMRG00000015177
sphenodon_punctatus ENSSPUG00000015700
phascolarctos_cinereus ENSPCIG00000020680
notamacropus_eugenii ENSMEUG00000015314
sarcophilus_harrisii ENSSHAG00000013798
monodelphis_domestica ENSMODG00000018567
pteropus_vampyrus ENSPVAG00000016700
myotis_lucifugus ENSMLUG00000011290
ursus_americanus ENSUAMG00000002884
ursus_maritimus ENSUMAG00000011293
ailuropoda_melanoleuca ENSAMEG00000012250
neovison_vison ENSNVIG00000003325
mustela_putorius_furo ENSMPUG00000006167
panthera_pardus ENSPPRG00000001943
panthera_tigris_altaica ENSPTIG00000019739
felis_catus ENSFCAG00000023949
canis_lupus_dingo ENSCAFG00020008381
canis_lupus_familiaris ENSCAFG00000002599
vulpes_vulpes ENSVVUG00000009408
ursus_americanus ENSUAMG00000018356
bos_mutus ENSBMUG00000016507
bos_taurus ENSBTAG00000002171
bison_bison_bison ENSBBBG00000008563
capra_hircus ENSCHIG00000013509
ovis_aries ENSOARG00000011336
tursiops_truncatus ENSTTRG00000015297
sus_scrofa ENSSSCG00000004275
vicugna_pacos ENSVPAG00000004803
equus_asinus_asinus ENSEASG00005003955
equus_caballus ENSECAG00000011658
sorex_araneus ENSSARG00000001343
erinaceus_europaeus ENSEEUG00000013099
heterocephalus_glaber_female ENSHGLG00000001394
heterocephalus_glaber_male ENSHGLG00100005240
fukomys_damarensis ENSFDAG00000011697
chinchilla_lanigera ENSCLAG00000000497
octodon_degus ENSODEG00000004939
cavia_porcellus ENSCPOG00000007057
cavia_aperea ENSCAPG00000017779
ictidomys_tridecemlineatus ENSSTOG00000021729
urocitellus_parryii ENSUPAG00010012439
spermophilus_dauricus ENSSDAG00000017457
marmota_marmota_marmota ENSMMMG00000002411
castor_canadensis ENSCCNG00000020278
