ictalurus_punctatus ENSIPUG00000018728
danio_rerio ENSDARG00000077240
fundulus_heteroclitus ENSFHEG00000022560
equus_caballus ENSECAG00000035538
equus_asinus_asinus ENSEASG00005014454
equus_caballus ENSECAG00000009535
sus_scrofa ENSSSCG00000006357
homo_sapiens ENSG00000158869
pongo_abelii ENSPPYG00000000604
chlorocebus_sabaeus ENSCSAG00000002672
cebus_capucinus ENSCCAG00000025452
saimiri_boliviensis_boliviensis ENSSBOG00000033675
aotus_nancymaae ENSANAG00000021201
carlito_syrichta ENSTSYG00000035962
propithecus_coquereli ENSPCOG00000022878
prolemur_simus ENSPSMG00000020845
cricetulus_griseus_crigri ENSCGRG00000003639
cricetulus_griseus_crigri-picr ENSCGRG00015017836
cricetulus_griseus_chok1gshd ENSCGRG00001010063
mesocricetus_auratus ENSMAUG00000015133
microtus_ochrogaster ENSMOCG00000009950
mus_musculus ENSMUSG00000058715
mus_pahari MGP_PahariEiJ_G0028096
rattus_norvegicus ENSRNOG00000024159
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014858
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015663
peromyscus_maniculatus_bairdii ENSPEMG00000030223
meriones_unguiculatus ENSMUGG00000016581
nannospalax_galili ENSNGAG00000021424
jaculus_jaculus ENSJJAG00000020957
dipodomys_ordii ENSDORG00000030202
urocitellus_parryii ENSUPAG00010005111
ictidomys_tridecemlineatus ENSSTOG00000006539
marmota_marmota_marmota ENSMMMG00000022000
spermophilus_dauricus ENSSDAG00000012471
castor_canadensis ENSCCNG00000013695
cavia_porcellus ENSCPOG00000038638
cavia_aperea ENSCAPG00000013956
chinchilla_lanigera ENSCLAG00000012722
octodon_degus ENSODEG00000007489
heterocephalus_glaber_female ENSHGLG00000017050
heterocephalus_glaber_male ENSHGLG00100005377
fukomys_damarensis ENSFDAG00000014053
ochotona_princeps ENSOPRG00000006849
ochotona_princeps ENSOPRG00000003406
neovison_vison ENSNVIG00000001950
mustela_putorius_furo ENSMPUG00000014334
canis_lupus_dingo ENSCAFG00020001016
ursus_maritimus ENSUMAG00000023947
panthera_tigris_altaica ENSPTIG00000019017
canis_lupus_familiaris ENSCAFG00000012878
capra_hircus ENSCHIG00000015345
equus_asinus_asinus ENSEASG00005012318
ursus_americanus ENSUAMG00000025479
loxodonta_africana ENSLAFG00000028877
vulpes_vulpes ENSVVUG00000015786
bos_mutus ENSBMUG00000000303
pan_paniscus ENSPPAG00000026233
pan_troglodytes ENSPTRG00000001579
gorilla_gorilla ENSGGOG00000026955
nomascus_leucogenys ENSNLEG00000028995
rhinopithecus_roxellana ENSRROG00000043936
rhinopithecus_bieti ENSRBIG00000028912
colobus_angolensis_palliatus ENSCANG00000029133
piliocolobus_tephrosceles ENSPTEG00000022946
macaca_fascicularis ENSMFAG00000043727
macaca_nemestrina ENSMNEG00000034478
macaca_mulatta ENSMMUG00000004512
theropithecus_gelada ENSTGEG00000007349
papio_anubis ENSPANG00000008808
mandrillus_leucophaeus ENSMLEG00000040815
cercocebus_atys ENSCATG00000002511
callithrix_jacchus ENSCJAG00000004958
microcebus_murinus ENSMICG00000007278
echinops_telfairi ENSETEG00000015752
procavia_capensis ENSPCAG00000013826
bison_bison_bison ENSBBBG00000013555
bos_taurus ENSBTAG00000024503
ovis_aries ENSOARG00000009800
tursiops_truncatus ENSTTRG00000009219
myotis_lucifugus ENSMLUG00000004581
panthera_pardus ENSPPRG00000006030
felis_catus ENSFCAG00000039518
dasypus_novemcinctus ENSDNOG00000025512
ailuropoda_melanoleuca ENSAMEG00000015462
tupaia_belangeri ENSTBEG00000017308
pteropus_vampyrus ENSPVAG00000005537
erinaceus_europaeus ENSEEUG00000013804
phascolarctos_cinereus ENSPCIG00000020362
notamacropus_eugenii ENSMEUG00000001611
monodelphis_domestica ENSMODG00000005124
notechis_scutatus ENSNSUG00000008021
salvator_merianae ENSSMRG00000011241
