prolemur_simus ENSPSMG00000003379
piliocolobus_tephrosceles ENSPTEG00000033301
peromyscus_maniculatus ENSPEMG00000025553
meriones_unguiculatus ENSMUGG00000021744
saimiri_boliviensis ENSSBOG00000022744
ursus_americanus ENSUAMG00000024420
ornithorhynchus_anatinus ENSOANG00000031581
sphenodon_punctatus ENSSPUG00000001493
notechis_scutatus ENSNSUG00000017391
numida_meleagris ENSNMEG00000019951
anser_brachyrhynchus ENSABRG00000011773
nothoprocta_perdicaria ENSNPEG00000002802
haplochromis_burtoni ENSHBUG00000006523
oryzias_melastigma ENSOMEG00000010121
stegastes_partitus ENSSPAG00000016577
electrophorus_electricus ENSEEEG00000003859
