notamacropus_eugenii ENSMEUG00000011639
phascolarctos_cinereus ENSPCIG00000003425
sarcophilus_harrisii ENSSHAG00000010764
monodelphis_domestica ENSMODG00000029458
pan_troglodytes ENSPTRG00000003729
pan_paniscus ENSPPAG00000040152
homo_sapiens ENSG00000110448
gorilla_gorilla ENSGGOG00000006638
pongo_abelii ENSPPYG00000003197
nomascus_leucogenys ENSNLEG00000001949
colobus_angolensis_palliatus ENSCANG00000043424
piliocolobus_tephrosceles ENSPTEG00000008250
rhinopithecus_roxellana ENSRROG00000038716
rhinopithecus_bieti ENSRBIG00000032116
mandrillus_leucophaeus ENSMLEG00000037219
cercocebus_atys ENSCATG00000034383
theropithecus_gelada ENSTGEG00000018792
papio_anubis ENSPANG00000017382
macaca_mulatta ENSMMUG00000015018
macaca_fascicularis ENSMFAG00000040601
macaca_nemestrina ENSMNEG00000017619
chlorocebus_sabaeus ENSCSAG00000006294
cebus_capucinus ENSCCAG00000029569
saimiri_boliviensis_boliviensis ENSSBOG00000030827
callithrix_jacchus ENSCJAG00000017364
aotus_nancymaae ENSANAG00000037540
carlito_syrichta ENSTSYG00000032631
prolemur_simus ENSPSMG00000021018
microcebus_murinus ENSMICG00000013628
propithecus_coquereli ENSPCOG00000027120
otolemur_garnettii ENSOGAG00000016776
castor_canadensis ENSCCNG00000014741
dipodomys_ordii ENSDORG00000004114
mus_musculus ENSMUSG00000024669
mus_spicilegus ENSMSIG00000030505
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023613
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022699
mus_pahari MGP_PahariEiJ_G0014193
rattus_norvegicus ENSRNOG00000020872
rattus_norvegicus ENSRNOG00000053873
meriones_unguiculatus ENSMUGG00000014422
cricetulus_griseus_crigri-picr ENSCGRG00015007673
cricetulus_griseus_chok1gshd ENSCGRG00001021859
mesocricetus_auratus ENSMAUG00000011872
peromyscus_maniculatus_bairdii ENSPEMG00000011153
microtus_ochrogaster ENSMOCG00000021640
nannospalax_galili ENSNGAG00000016520
jaculus_jaculus ENSJJAG00000014422
ictidomys_tridecemlineatus ENSSTOG00000026365
urocitellus_parryii ENSUPAG00010004200
spermophilus_dauricus ENSSDAG00000017986
marmota_marmota_marmota ENSMMMG00000001111
chinchilla_lanigera ENSCLAG00000004976
octodon_degus ENSODEG00000004906
heterocephalus_glaber_female ENSHGLG00000019522
cavia_porcellus ENSCPOG00000025895
cavia_aperea ENSCAPG00000005949
oryctolagus_cuniculus ENSOCUG00000022346
ochotona_princeps ENSOPRG00000003754
tupaia_belangeri ENSTBEG00000016229
ursus_americanus ENSUAMG00000017778
ursus_maritimus ENSUMAG00000011691
ailuropoda_melanoleuca ENSAMEG00000007547
mustela_putorius_furo ENSMPUG00000014379
neovison_vison ENSNVIG00000021949
canis_lupus_dingo ENSCAFG00020012684
canis_lupus_familiaris ENSCAFG00000016332
vulpes_vulpes ENSVVUG00000005055
panthera_pardus ENSPPRG00000023376
panthera_tigris_altaica ENSPTIG00000016289
felis_catus ENSFCAG00000013672
equus_asinus_asinus ENSEASG00005008100
equus_caballus ENSECAG00000012498
pteropus_vampyrus ENSPVAG00000014106
myotis_lucifugus ENSMLUG00000017332
sorex_araneus ENSSARG00000008555
ovis_aries ENSOARG00000016138
capra_hircus ENSCHIG00000005294
bison_bison_bison ENSBBBG00000021013
bos_mutus ENSBMUG00000015138
bos_taurus ENSBTAG00000013730
sus_scrofa ENSSSCG00000013115
tursiops_truncatus ENSTTRG00000000042
vicugna_pacos ENSVPAG00000010656
dasypus_novemcinctus ENSDNOG00000016143
loxodonta_africana ENSLAFG00000016852
procavia_capensis ENSPCAG00000001540
echinops_telfairi ENSETEG00000015757
ornithorhynchus_anatinus ENSOANG00000008009
