cricetulus_griseus_crigri ENSCGRG00000017690
cricetulus_griseus_crigri-picr ENSCGRG00015021048
mesocricetus_auratus ENSMAUG00000019943
microtus_ochrogaster ENSMOCG00000005530
peromyscus_maniculatus_bairdii ENSPEMG00000010666
mus_pahari MGP_PahariEiJ_G0012875
nannospalax_galili ENSNGAG00000022717
nannospalax_galili ENSNGAG00000012085
mus_musculus ENSMUSG00000038782
mus_spicilegus ENSMSIG00000019852
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030749
cricetulus_griseus_chok1gshd ENSCGRG00001009744
jaculus_jaculus ENSJJAG00000014509
dipodomys_ordii ENSDORG00000026073
castor_canadensis ENSCCNG00000001080
urocitellus_parryii ENSUPAG00010015867
spermophilus_dauricus ENSSDAG00000010954
ictidomys_tridecemlineatus ENSSTOG00000034451
marmota_marmota_marmota ENSMMMG00000006681
heterocephalus_glaber_female ENSHGLG00000018398
heterocephalus_glaber_male ENSHGLG00100017099
fukomys_damarensis ENSFDAG00000010787
cavia_porcellus ENSCPOG00000038553
cavia_aperea ENSCAPG00000010103
chinchilla_lanigera ENSCLAG00000006561
octodon_degus ENSODEG00000016338
