nomascus_leucogenys ENSNLEG00000032195
macaca_mulatta ENSMMUG00000041010
pan_troglodytes ENSPTRG00000050776
pan_paniscus ENSPPAG00000039695
gorilla_gorilla ENSGGOG00000036761
pongo_abelii ENSPPYG00000015682
macaca_mulatta ENSMMUG00000038722
macaca_fascicularis ENSMFAG00000034606
macaca_nemestrina ENSMNEG00000017255
rhinopithecus_bieti ENSRBIG00000033434
carlito_syrichta ENSTSYG00000030294
propithecus_coquereli ENSPCOG00000014794
colobus_angolensis ENSCANG00000022578
capra_hircus ENSCHIG00000019787
canis_lupus ENSCAFG00020006057
