cebus_capucinus ENSCCAG00000020623
callithrix_jacchus ENSCJAG00000046241
saimiri_boliviensis_boliviensis ENSSBOG00000017755
aotus_nancymaae ENSANAG00000002014
pan_troglodytes ENSPTRG00000051872
pan_paniscus ENSPPAG00000017407
gorilla_gorilla ENSGGOG00000037956
rhinopithecus_roxellana ENSRROG00000040609
rhinopithecus_bieti ENSRBIG00000038462
colobus_angolensis_palliatus ENSCANG00000041534
mandrillus_leucophaeus ENSMLEG00000015307
papio_anubis ENSPANG00000031128
cercocebus_atys ENSCATG00000000220
macaca_fascicularis ENSMFAG00000034999
macaca_nemestrina ENSMNEG00000009122
macaca_mulatta ENSMMUG00000041583
theropithecus_gelada ENSTGEG00000026612
microcebus_murinus ENSMICG00000029270
sus_scrofa ENSSSCG00000040326
capra_hircus ENSCHIG00000024647
equus_caballus ENSECAG00000029251
equus_asinus_asinus ENSEASG00005016731
