kryptolebias_marmoratus ENSKMAG00000001573
poecilia_formosa ENSPFOG00000013547
haplochromis_burtoni ENSHBUG00000015456
maylandia_zebra ENSMZEG00005006590
neolamprologus_brichardi ENSNBRG00000022026
monopterus_albus ENSMALG00000009561
gasterosteus_aculeatus ENSGACG00000017258
tetraodon_nigroviridis ENSTNIG00000016847
gadus_morhua ENSGMOG00000004806
esox_lucius ENSELUG00000003688
astyanax_mexicanus ENSAMXG00000030729
danio_rerio ENSDARG00000102058
scleropages_formosus ENSSFOG00015011988
lepisosteus_oculatus ENSLOCG00000015120
