ictidomys_tridecemlineatus ENSSTOG00000033032
urocitellus_parryii ENSUPAG00010017818
oryctolagus_cuniculus ENSOCUG00000003849
microcebus_murinus ENSMICG00000003791
prolemur_simus ENSPSMG00000016210
equus_caballus ENSECAG00000028566
equus_asinus_asinus ENSEASG00005003116
sorex_araneus ENSSARG00000005302
bison_bison_bison ENSBBBG00000018041
bos_taurus ENSBTAG00000052790
bos_mutus ENSBMUG00000013347
sus_scrofa ENSSSCG00000040577
neovison_vison ENSNVIG00000012223
ursus_americanus ENSUAMG00000010924
dasypus_novemcinctus ENSDNOG00000040536
loxodonta_africana ENSLAFG00000021529
