haplochromis_burtoni ENSHBUG00000009159
maylandia_zebra ENSMZEG00005015887
astatotilapia_calliptera ENSACLG00000014765
pundamilia_nyererei ENSPNYG00000022306
neolamprologus_brichardi ENSNBRG00000014881
oreochromis_niloticus ENSONIG00000012282
amphilophus_citrinellus ENSACIG00000010856
amphiprion_ocellaris ENSAOCG00000018899
amphiprion_percula ENSAPEG00000020943
acanthochromis_polyacanthus ENSAPOG00000016434
fundulus_heteroclitus ENSFHEG00000004585
cyprinodon_variegatus ENSCVAG00000022702
poecilia_formosa ENSPFOG00000004221
poecilia_latipinna ENSPLAG00000014460
poecilia_mexicana ENSPMEG00000016065
poecilia_reticulata ENSPREG00000022075
xiphophorus_maculatus ENSXMAG00000010615
xiphophorus_couchianus ENSXCOG00000016818
gambusia_affinis ENSGAFG00000020455
kryptolebias_marmoratus ENSKMAG00000004218
oryzias_latipes ENSORLG00000000103
oryzias_latipes ENSORLG00020012168
oryzias_latipes_asm223469v1 ENSORLG00015014389
oryzias_melastigma ENSOMEG00000020335
tetraodon_nigroviridis ENSTNIG00000003466
takifugu_rubripes ENSTRUG00000004031
mola_mola ENSMMOG00000019680
stegastes_partitus ENSSPAG00000007593
gasterosteus_aculeatus ENSGACG00000015074
labrus_bergylta ENSLBEG00000004692
seriola_dumerili ENSSDUG00000013148
seriola_lalandi_dorsalis ENSSLDG00000010515
scophthalmus_maximus ENSSMAG00000002536
mastacembelus_armatus ENSMAMG00000022465
monopterus_albus ENSMALG00000007265
anabas_testudineus ENSATEG00000013353
hippocampus_comes ENSHCOG00000015200
cynoglossus_semilaevis ENSCSEG00000006874
periophthalmus_magnuspinnatus ENSPMGG00000022646
gadus_morhua ENSGMOG00000010433
esox_lucius ENSELUG00000014828
pygocentrus_nattereri ENSPNAG00000023741
astyanax_mexicanus ENSAMXG00000007970
ictalurus_punctatus ENSIPUG00000021451
danio_rerio ENSDARG00000101161
paramormyrops_kingsleyae ENSPKIG00000003619
scleropages_formosus ENSSFOG00015019383
lepisosteus_oculatus ENSLOCG00000001369
