canis_lupus_dingo ENSCAFG00020018089
vulpes_vulpes ENSVVUG00000013562
canis_lupus_familiaris ENSCAFG00000031624
mustela_putorius_furo ENSMPUG00000005582
neovison_vison ENSNVIG00000015942
panthera_tigris_altaica ENSPTIG00000005456
panthera_pardus ENSPPRG00000019495
felis_catus ENSFCAG00000030915
equus_asinus_asinus ENSEASG00005002289
equus_caballus ENSECAG00000017529
homo_sapiens ENSG00000186020
gorilla_gorilla ENSGGOG00000038039
pan_troglodytes ENSPTRG00000043765
pan_paniscus ENSPPAG00000040682
pongo_abelii ENSPPYG00000029710
nomascus_leucogenys ENSNLEG00000003061
papio_anubis ENSPANG00000004506
theropithecus_gelada ENSTGEG00000007665
cercocebus_atys ENSCATG00000031609
macaca_fascicularis ENSMFAG00000039375
macaca_mulatta ENSMMUG00000022793
macaca_nemestrina ENSMNEG00000038750
mandrillus_leucophaeus ENSMLEG00000042784
chlorocebus_sabaeus ENSCSAG00000004204
rhinopithecus_bieti ENSRBIG00000039542
rhinopithecus_roxellana ENSRROG00000038452
colobus_angolensis_palliatus ENSCANG00000002401
piliocolobus_tephrosceles ENSPTEG00000017863
cebus_capucinus ENSCCAG00000037610
saimiri_boliviensis_boliviensis ENSSBOG00000030255
callithrix_jacchus ENSCJAG00000048101
aotus_nancymaae ENSANAG00000033822
carlito_syrichta ENSTSYG00000005941
microcebus_murinus ENSMICG00000035370
propithecus_coquereli ENSPCOG00000019645
prolemur_simus ENSPSMG00000001875
otolemur_garnettii ENSOGAG00000001288
marmota_marmota_marmota ENSMMMG00000004522
castor_canadensis ENSCCNG00000009487
capra_hircus ENSCHIG00000005870
ovis_aries ENSOARG00000005324
bison_bison_bison ENSBBBG00000008406
bos_taurus ENSBTAG00000033563
bos_mutus ENSBMUG00000019055
equus_caballus ENSECAG00000038844
castor_canadensis ENSCCNG00000009491
vicugna_pacos ENSVPAG00000008947
dasypus_novemcinctus ENSDNOG00000048509
