drosophila_melanogaster FBgn0259113
caenorhabditis_elegans WBGene00012936
clupea_harengus ENSCHAG00000003748
denticeps_clupeoides ENSDCDG00000000866
ictalurus_punctatus ENSIPUG00000015224
electrophorus_electricus ENSEEEG00000008268
pygocentrus_nattereri ENSPNAG00000022652
astyanax_mexicanus ENSAMXG00005017449
danio_rerio ENSDARG00000045308
takifugu_rubripes ENSTRUG00000007947
tetraodon_nigroviridis ENSTNIG00000008158
cynoglossus_semilaevis ENSCSEG00000010976
cottoperca_gobio ENSCGOG00000016475
gasterosteus_aculeatus ENSGACG00000002594
larimichthys_crocea ENSLCRG00005012874
mola_mola ENSMMOG00000003731
labrus_bergylta ENSLBEG00000017168
seriola_dumerili ENSSDUG00000002748
seriola_lalandi ENSSLDG00000008626
scophthalmus_maximus ENSSMAG00000017816
lates_calcarifer ENSLCAG00010005105
mastacembelus_armatus ENSMAMG00000022937
monopterus_albus ENSMALG00000009057
betta_splendens ENSBSLG00000010914
anabas_testudineus ENSATEG00000014357
amphiprion_ocellaris ENSAOCG00000002950
amphiprion_percula ENSAPEG00000023055
acanthochromis_polyacanthus ENSAPOG00000023130
parambassis_ranga ENSPRNG00000024853
maylandia_zebra ENSMZEG00005021295
haplochromis_burtoni ENSHBUG00000000672
pundamilia_nyererei ENSPNYG00000000349
astatotilapia_calliptera ENSACLG00000022898
neolamprologus_brichardi ENSNBRG00000001791
oreochromis_niloticus ENSONIG00000014373
amphilophus_citrinellus ENSACIG00000001954
poecilia_mexicana ENSPMEG00000009713
poecilia_formosa ENSPFOG00000002979
poecilia_reticulata ENSPREG00000014453
poecilia_latipinna ENSPLAG00000005018
xiphophorus_maculatus ENSXMAG00000019037
xiphophorus_couchianus ENSXCOG00000006763
gambusia_affinis ENSGAFG00000009268
fundulus_heteroclitus ENSFHEG00000004573
cyprinodon_variegatus ENSCVAG00000014504
kryptolebias_marmoratus ENSKMAG00000014882
oryzias_latipes ENSORLG00020018256
oryzias_latipes ENSORLG00000007489
oryzias_latipes ENSORLG00015018579
oryzias_melastigma ENSOMEG00000012492
gouania_willdenowi ENSGWIG00000013428
hippocampus_comes ENSHCOG00000012594
periophthalmus_magnuspinnatus ENSPMGG00000013016
gadus_morhua ENSGMOG00000012819
hucho_hucho ENSHHUG00000014472
esox_lucius ENSELUG00000008871
scleropages_formosus ENSSFOG00015017811
paramormyrops_kingsleyae ENSPKIG00000025070
lepisosteus_oculatus ENSLOCG00000001836
erpetoichthys_calabaricus ENSECRG00000005843
callorhinchus_milii ENSCMIG00000006396
gallus_gallus ENSGALG00000016312
coturnix_japonica ENSCJPG00005017303
meleagris_gallopavo ENSMGAG00000014644
numida_meleagris ENSNMEG00000018514
anser_brachyrhynchus ENSABRG00000008402
anas_platyrhynchos ENSAPLG00000008944
taeniopygia_guttata ENSTGUG00000016138
taeniopygia_guttata ENSTGUG00000007103
lonchura_striata ENSLSDG00000006536
serinus_canaria ENSSCAG00000015849
zonotrichia_albicollis ENSZALG00000018179
junco_hyemalis ENSJHYG00000009751
parus_major ENSPMJG00000011212
cyanistes_caeruleus ENSCCEG00000010537
ficedula_albicollis ENSFALG00000004080
manacus_vitellinus ENSMVIG00005014092
lepidothrix_coronata ENSLCOG00000001880
melopsittacus_undulatus ENSMUNG00000004843
calidris_pugnax ENSCPUG00000008779
calidris_pygmaea ENSCPGG00000006116
apteryx_rowi ENSARWG00000007463
apteryx_owenii ENSAOWG00000012441
apteryx_haastii ENSAHAG00000015411
dromaius_novaehollandiae ENSDNVG00000006638
crocodylus_porosus ENSCPRG00005003771
gopherus_agassizii ENSGAGG00000007556
chelonoidis_abingdonii ENSCABG00000019649
chrysemys_picta ENSCPBG00000006090
pelodiscus_sinensis ENSPSIG00000009291
sphenodon_punctatus ENSSPUG00000000270
anolis_carolinensis ENSACAG00000008221
pogona_vitticeps ENSPVIG00000009852
notechis_scutatus ENSNSUG00000011039
salvator_merianae ENSSMRG00000022838
sphenodon_punctatus ENSSPUG00000000303
vombatus_ursinus ENSVURG00010011074
phascolarctos_cinereus ENSPCIG00000028663
notamacropus_eugenii ENSMEUG00000004673
sarcophilus_harrisii ENSSHAG00000013218
monodelphis_domestica ENSMODG00000007354
loxodonta_africana ENSLAFG00000001776
procavia_capensis ENSPCAG00000000973
echinops_telfairi ENSETEG00000016770
choloepus_hoffmanni ENSCHOG00000006091
dasypus_novemcinctus ENSDNOG00000010588
capra_hircus ENSCHIG00000016890
ovis_aries ENSOARG00000017574
bos_taurus ENSBTAG00000008170
bos_indicus ENSBIXG00005022900
bos_mutus ENSBMUG00000016239
tursiops_truncatus ENSTTRG00000005283
sus_scrofa ENSSSCG00000022240
vicugna_pacos ENSVPAG00000008319
equus_caballus ENSECAG00000013090
equus_asinus ENSEASG00005017209
ailuropoda_melanoleuca ENSAMEG00000014758
ursus_maritimus ENSUMAG00000011852
neovison_vison ENSNVIG00000010984
mustela_putorius ENSMPUG00000000097
canis_lupus ENSCAFG00000013521
canis_lupus ENSCAFG00020005674
vulpes_vulpes ENSVVUG00000012501
panthera_tigris ENSPTIG00000013657
panthera_pardus ENSPPRG00000009229
felis_catus ENSFCAG00000002138
myotis_lucifugus ENSMLUG00000004537
pteropus_vampyrus ENSPVAG00000000905
erinaceus_europaeus ENSEEUG00000010504
sorex_araneus ENSSARG00000005284
castor_canadensis ENSCCNG00000011026
dipodomys_ordii ENSDORG00000010871
mus_spicilegus ENSMSIG00000027042
mus_musculus ENSMUSG00000006678
mus_spretus MGP_SPRETEiJ_G0034396
