mola_mola ENSMMOG00000014326
gasterosteus_aculeatus ENSGACG00000010971
tetraodon_nigroviridis ENSTNIG00000016220
takifugu_rubripes ENSTRUG00000001557
cyprinodon_variegatus ENSCVAG00000018816
poecilia_reticulata ENSPREG00000009918
gadus_morhua ENSGMOG00000010544
esox_lucius ENSELUG00000021426
lepisosteus_oculatus ENSLOCG00000006115
calidris_pygmaea ENSCPGG00000007762
calidris_pugnax ENSCPUG00000019803
melopsittacus_undulatus ENSMUNG00000002280
parus_major ENSPMJG00000019799
cyanistes_caeruleus ENSCCEG00000013929
ficedula_albicollis ENSFALG00000005799
lonchura_striata_domestica ENSLSDG00000009144
taeniopygia_guttata ENSTGUG00000007244
junco_hyemalis ENSJHYG00000002784
serinus_canaria ENSSCAG00000010535
manacus_vitellinus ENSMVIG00005014110
lepidothrix_coronata ENSLCOG00000009335
coturnix_japonica ENSCJPG00005016492
gallus_gallus ENSGALG00000004799
meleagris_gallopavo ENSMGAG00000006973
numida_meleagris ENSNMEG00000003129
anser_brachyrhynchus ENSABRG00000011331
apteryx_owenii ENSAOWG00000016926
apteryx_rowi ENSARWG00000015529
apteryx_haastii ENSAHAG00000005662
dromaius_novaehollandiae ENSDNVG00000002981
crocodylus_porosus ENSCPRG00005012593
pelodiscus_sinensis ENSPSIG00000014261
gopherus_agassizii ENSGAGG00000019505
vicugna_pacos ENSVPAG00000009373
vulpes_vulpes ENSVVUG00000021603
erinaceus_europaeus ENSEEUG00000000640
fukomys_damarensis ENSFDAG00000013131
ochotona_princeps ENSOPRG00000002519
pongo_abelii ENSPPYG00000007762
echinops_telfairi ENSETEG00000017852
