ictalurus_punctatus ENSIPUG00000009696
seriola_lalandi_dorsalis ENSSLDG00000002975
panthera_pardus ENSPPRG00000017780
felis_catus ENSFCAG00000040013
felis_catus ENSFCAG00000033669
canis_lupus_dingo ENSCAFG00020020259
vulpes_vulpes ENSVVUG00000002549
ursus_maritimus ENSUMAG00000012330
ursus_americanus ENSUAMG00000017176
neovison_vison ENSNVIG00000014895
canis_lupus_dingo ENSCAFG00020025654
bison_bison_bison ENSBBBG00000021772
bison_bison_bison ENSBBBG00000021597
bos_mutus ENSBMUG00000010124
capra_hircus ENSCHIG00000026229
aotus_nancymaae ENSANAG00000023263
theropithecus_gelada ENSTGEG00000015554
carlito_syrichta ENSTSYG00000030615
prolemur_simus ENSPSMG00000025326
mus_spicilegus ENSMSIG00000024543
cricetulus_griseus_crigri-picr ENSCGRG00015023180
castor_canadensis ENSCCNG00000023002
salvator_merianae ENSSMRG00000002550
