felis_catus ENSFCAG00000015796
panthera_tigris_altaica ENSPTIG00000008445
vicugna_pacos ENSVPAG00000003068
pan_troglodytes ENSPTRG00000004219
pan_paniscus ENSPPAG00000019189
gorilla_gorilla ENSGGOG00000026738
homo_sapiens ENSG00000166670
nomascus_leucogenys ENSNLEG00000007177
mandrillus_leucophaeus ENSMLEG00000031529
cercocebus_atys ENSCATG00000032332
macaca_mulatta ENSMMUG00000021764
macaca_nemestrina ENSMNEG00000026876
macaca_fascicularis ENSMFAG00000031795
papio_anubis ENSPANG00000007953
theropithecus_gelada ENSTGEG00000013365
chlorocebus_sabaeus ENSCSAG00000003203
colobus_angolensis_palliatus ENSCANG00000040620
piliocolobus_tephrosceles ENSPTEG00000032095
rhinopithecus_roxellana ENSRROG00000042454
rhinopithecus_bieti ENSRBIG00000027869
cebus_capucinus ENSCCAG00000036577
saimiri_boliviensis_boliviensis ENSSBOG00000029788
callithrix_jacchus ENSCJAG00000016298
carlito_syrichta ENSTSYG00000003588
prolemur_simus ENSPSMG00000009342
microcebus_murinus ENSMICG00000006282
propithecus_coquereli ENSPCOG00000017692
otolemur_garnettii ENSOGAG00000010212
tupaia_belangeri ENSTBEG00000016136
cricetulus_griseus_chok1gshd ENSCGRG00001014094
microtus_ochrogaster ENSMOCG00000007239
nannospalax_galili ENSNGAG00000011580
jaculus_jaculus ENSJJAG00000020496
chinchilla_lanigera ENSCLAG00000013443
octodon_degus ENSODEG00000014848
cavia_porcellus ENSCPOG00000035812
cavia_aperea ENSCAPG00000007684
heterocephalus_glaber_male ENSHGLG00100017990
heterocephalus_glaber_female ENSHGLG00000003158
fukomys_damarensis ENSFDAG00000015151
oryctolagus_cuniculus ENSOCUG00000021775
loxodonta_africana ENSLAFG00000023165
echinops_telfairi ENSETEG00000016816
dasypus_novemcinctus ENSDNOG00000019850
