oreochromis_niloticus ENSONIG00000013963
neolamprologus_brichardi ENSNBRG00000016432
xiphophorus_couchianus ENSXCOG00000018353
xiphophorus_maculatus ENSXMAG00000027266
poecilia_formosa ENSPFOG00000022525
labrus_bergylta ENSLBEG00000005286
esox_lucius ENSELUG00000006074
astyanax_mexicanus ENSAMXG00000007054
pygocentrus_nattereri ENSPNAG00000015725
lonchura_striata_domestica ENSLSDG00000003393
junco_hyemalis ENSJHYG00000013799
parus_major ENSPMJG00000012398
ficedula_albicollis ENSFALG00000011572
lepidothrix_coronata ENSLCOG00000009110
numida_meleagris ENSNMEG00000011050
apteryx_haastii ENSAHAG00000004070
apteryx_owenii ENSAOWG00000012554
sarcophilus_harrisii ENSSHAG00000006218
latimeria_chalumnae ENSLACG00000006906
ciona_savignyi ENSCSAVG00000001047
