peromyscus_maniculatus ENSPEMG00000004230
microtus_ochrogaster ENSMOCG00000022386
cricetulus_griseus ENSCGRG00001017082
cricetulus_griseus ENSCGRG00015009212
mesocricetus_auratus ENSMAUG00000003109
mus_musculus ENSMUSG00000036615
mus_spicilegus ENSMSIG00000011399
mus_spretus MGP_SPRETEiJ_G0025930
mus_caroli MGP_CAROLIEiJ_G0024995
mus_pahari MGP_PahariEiJ_G0026436
rattus_norvegicus ENSRNOG00000028382
rattus_norvegicus ENSRNOG00000056028
meriones_unguiculatus ENSMUGG00000008623
nannospalax_galili ENSNGAG00000011758
dipodomys_ordii ENSDORG00000002523
loxodonta_africana ENSLAFG00000005621
procavia_capensis ENSPCAG00000011699
echinops_telfairi ENSETEG00000017947
equus_caballus ENSECAG00000011258
equus_asinus ENSEASG00005019840
erinaceus_europaeus ENSEEUG00000007197
pteropus_vampyrus ENSPVAG00000006689
myotis_lucifugus ENSMLUG00000013270
bos_indicus ENSBIXG00005018065
bos_indicus ENSBIXG00000028681
bos_taurus ENSBTAG00000005351
capra_hircus ENSCHIG00000007931
tursiops_truncatus ENSTTRG00000007901
panthera_tigris ENSPTIG00000019110
ursus_maritimus ENSUMAG00000024011
bison_bison ENSBBBG00000017143
bos_mutus ENSBMUG00000013796
ovis_aries ENSOARG00000010378
sorex_araneus ENSSARG00000007582
oryctolagus_cuniculus ENSOCUG00000014234
microcebus_murinus ENSMICG00000030008
prolemur_simus ENSPSMG00000021869
propithecus_coquereli ENSPCOG00000011817
otolemur_garnettii ENSOGAG00000002740
homo_sapiens ENSG00000133111
gorilla_gorilla ENSGGOG00000025564
pan_troglodytes ENSPTRG00000005787
pan_paniscus ENSPPAG00000028456
pongo_abelii ENSPPYG00000005284
nomascus_leucogenys ENSNLEG00000001626
cercocebus_atys ENSCATG00000041486
chlorocebus_sabaeus ENSCSAG00000017874
theropithecus_gelada ENSTGEG00000023791
macaca_mulatta ENSMMUG00000009913
rhinopithecus_roxellana ENSRROG00000036015
rhinopithecus_bieti ENSRBIG00000043307
colobus_angolensis ENSCANG00000027746
piliocolobus_tephrosceles ENSPTEG00000023726
macaca_nemestrina ENSMNEG00000028015
macaca_fascicularis ENSMFAG00000043454
mandrillus_leucophaeus ENSMLEG00000037801
papio_anubis ENSPANG00000021854
callithrix_jacchus ENSCJAG00000043844
cebus_capucinus ENSCCAG00000035871
saimiri_boliviensis ENSSBOG00000027209
aotus_nancymaae ENSANAG00000028911
chinchilla_lanigera ENSCLAG00000005593
cavia_porcellus ENSCPOG00000010243
octodon_degus ENSODEG00000010191
heterocephalus_glaber ENSHGLG00000004899
heterocephalus_glaber ENSHGLG00100005526
marmota_marmota ENSMMMG00000022632
urocitellus_parryii ENSUPAG00010002005
ictidomys_tridecemlineatus ENSSTOG00000028189
castor_canadensis ENSCCNG00000026638
ochotona_princeps ENSOPRG00000004904
ursus_americanus ENSUAMG00000002617
ailuropoda_melanoleuca ENSAMEG00000014436
mustela_putorius ENSMPUG00000001841
neovison_vison ENSNVIG00000022117
canis_lupus ENSCAFG00020021520
canis_lupus ENSCAFG00000030114
vulpes_vulpes ENSVVUG00000026640
felis_catus ENSFCAG00000027454
panthera_pardus ENSPPRG00000022543
dasypus_novemcinctus ENSDNOG00000040728
choloepus_hoffmanni ENSCHOG00000012518
notamacropus_eugenii ENSMEUG00000001128
phascolarctos_cinereus ENSPCIG00000021628
sarcophilus_harrisii ENSSHAG00000010194
monodelphis_domestica ENSMODG00000009995
gallus_gallus ENSGALG00000019087
meleagris_gallopavo ENSMGAG00000015061
numida_meleagris ENSNMEG00000009102
anser_brachyrhynchus ENSABRG00000006029
serinus_canaria ENSSCAG00000012534
taeniopygia_guttata ENSTGUG00000011894
parus_major ENSPMJG00000015007
lonchura_striata ENSLSDG00000017177
ficedula_albicollis ENSFALG00000008298
lepidothrix_coronata ENSLCOG00000011738
anas_platyrhynchos ENSAPLG00000030594
coturnix_japonica ENSCJPG00005006348
calidris_pygmaea ENSCPGG00000009715
chrysemys_picta ENSCPBG00000003212
