piliocolobus_tephrosceles ENSPTEG00000026119
colobus_angolensis_palliatus ENSCANG00000035802
rhinopithecus_bieti ENSRBIG00000026136
rhinopithecus_roxellana ENSRROG00000038931
papio_anubis ENSPANG00000034250
theropithecus_gelada ENSTGEG00000029032
cercocebus_atys ENSCATG00000008648
macaca_fascicularis ENSMFAG00000001844
macaca_mulatta ENSMMUG00000046032
macaca_nemestrina ENSMNEG00000037290
pan_troglodytes ENSPTRG00000045473
pan_paniscus ENSPPAG00000038412
gorilla_gorilla ENSGGOG00000036882
cebus_capucinus ENSCCAG00000037928
