dipodomys_ordii ENSDORG00000028568
marmota_marmota_marmota ENSMMMG00000001074
cavia_aperea ENSCAPG00000010674
cricetulus_griseus_crigri ENSCGRG00000007496
echinops_telfairi ENSETEG00000018837
phascolarctos_cinereus ENSPCIG00000013446
mus_spicilegus ENSMSIG00000003103
mus_musculus ENSMUSG00000032905
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023169
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022258
mus_pahari MGP_PahariEiJ_G0018990
rattus_norvegicus ENSRNOG00000000157
meriones_unguiculatus ENSMUGG00000025907
microtus_ochrogaster ENSMOCG00000008509
peromyscus_maniculatus_bairdii ENSPEMG00000031299
cricetulus_griseus_chok1gshd ENSCGRG00001012075
cricetulus_griseus_crigri-picr ENSCGRG00015005313
mesocricetus_auratus ENSMAUG00000017606
nannospalax_galili ENSNGAG00000019349
nannospalax_galili ENSNGAG00000016446
jaculus_jaculus ENSJJAG00000013169
jaculus_jaculus ENSJJAG00000010169
capra_hircus ENSCHIG00000024485
ovis_aries ENSOARG00000016432
bison_bison_bison ENSBBBG00000020907
bos_taurus ENSBTAG00000017525
bos_mutus ENSBMUG00000014624
capra_hircus ENSCHIG00000026160
tursiops_truncatus ENSTTRG00000000812
vicugna_pacos ENSVPAG00000006989
sus_scrofa ENSSSCG00000033912
equus_caballus ENSECAG00000012452
equus_asinus_asinus ENSEASG00005015074
ursus_americanus ENSUAMG00000017944
ursus_maritimus ENSUMAG00000023779
ailuropoda_melanoleuca ENSAMEG00000017052
neovison_vison ENSNVIG00000015011
mustela_putorius_furo ENSMPUG00000000773
canis_lupus_familiaris ENSCAFG00000000204
canis_lupus_dingo ENSCAFG00020004037
vulpes_vulpes ENSVVUG00000019613
panthera_tigris_altaica ENSPTIG00000015877
panthera_pardus ENSPPRG00000008425
felis_catus ENSFCAG00000007604
myotis_lucifugus ENSMLUG00000002759
pteropus_vampyrus ENSPVAG00000006572
chinchilla_lanigera ENSCLAG00000015170
octodon_degus ENSODEG00000002126
cavia_porcellus ENSCPOG00000035409
heterocephalus_glaber_female ENSHGLG00000008883
heterocephalus_glaber_male ENSHGLG00100002113
fukomys_damarensis ENSFDAG00000015336
marmota_marmota_marmota ENSMMMG00000000797
marmota_marmota_marmota ENSMMMG00000017439
marmota_marmota_marmota ENSMMMG00000006800
urocitellus_parryii ENSUPAG00010020806
urocitellus_parryii ENSUPAG00010000991
ictidomys_tridecemlineatus ENSSTOG00000011755
spermophilus_dauricus ENSSDAG00000007867
castor_canadensis ENSCCNG00000005230
dasypus_novemcinctus ENSDNOG00000033112
propithecus_coquereli ENSPCOG00000027970
microcebus_murinus ENSMICG00000009010
prolemur_simus ENSPSMG00000025394
otolemur_garnettii ENSOGAG00000009309
carlito_syrichta ENSTSYG00000013229
carlito_syrichta ENSTSYG00000026325
cebus_capucinus ENSCCAG00000022221
saimiri_boliviensis_boliviensis ENSSBOG00000032632
callithrix_jacchus ENSCJAG00000047840
aotus_nancymaae ENSANAG00000023055
pan_paniscus ENSPPAG00000040425
pan_troglodytes ENSPTRG00000049580
gorilla_gorilla ENSGGOG00000016888
pongo_abelii ENSPPYG00000015699
nomascus_leucogenys ENSNLEG00000031512
rhinopithecus_bieti ENSRBIG00000040364
rhinopithecus_roxellana ENSRROG00000044328
piliocolobus_tephrosceles ENSPTEG00000037076
colobus_angolensis_palliatus ENSCANG00000042114
papio_anubis ENSPANG00000031905
theropithecus_gelada ENSTGEG00000011561
chlorocebus_sabaeus ENSCSAG00000014836
macaca_nemestrina ENSMNEG00000033384
macaca_fascicularis ENSMFAG00000042814
cercocebus_atys ENSCATG00000042479
mandrillus_leucophaeus ENSMLEG00000030977
pan_troglodytes ENSPTRG00000017154
pan_paniscus ENSPPAG00000037112
homo_sapiens ENSG00000145782
gorilla_gorilla ENSGGOG00000041345
choloepus_hoffmanni ENSCHOG00000004464
dasypus_novemcinctus ENSDNOG00000033956
loxodonta_africana ENSLAFG00000015307
procavia_capensis ENSPCAG00000001065
ochotona_princeps ENSOPRG00000009163
notamacropus_eugenii ENSMEUG00000001465
