fundulus_heteroclitus ENSFHEG00000021450
cyprinodon_variegatus ENSCVAG00000019222
xiphophorus_maculatus ENSXMAG00000022102
xiphophorus_couchianus ENSXCOG00000009926
gambusia_affinis ENSGAFG00000011973
poecilia_latipinna ENSPLAG00000007426
poecilia_mexicana ENSPMEG00000010869
poecilia_formosa ENSPFOG00000018025
poecilia_reticulata ENSPREG00000011282
kryptolebias_marmoratus ENSKMAG00000000135
oryzias_latipes ENSORLG00000005501
oryzias_latipes_asm223469v1 ENSORLG00015014751
oryzias_latipes ENSORLG00020009800
oryzias_melastigma ENSOMEG00000009111
tetraodon_nigroviridis ENSTNIG00000017040
takifugu_rubripes ENSTRUG00000010498
mola_mola ENSMMOG00000008157
hippocampus_comes ENSHCOG00000017854
periophthalmus_magnuspinnatus ENSPMGG00000014756
gasterosteus_aculeatus ENSGACG00000009797
labrus_bergylta ENSLBEG00000021851
scophthalmus_maximus ENSSMAG00000019426
cynoglossus_semilaevis ENSCSEG00000003059
seriola_lalandi_dorsalis ENSSLDG00000014981
seriola_dumerili ENSSDUG00000017844
amphiprion_ocellaris ENSAOCG00000014460
amphiprion_percula ENSAPEG00000006722
acanthochromis_polyacanthus ENSAPOG00000002981
stegastes_partitus ENSSPAG00000011115
astatotilapia_calliptera ENSACLG00000017776
pundamilia_nyererei ENSPNYG00000003610
maylandia_zebra ENSMZEG00005027444
haplochromis_burtoni ENSHBUG00000016647
neolamprologus_brichardi ENSNBRG00000015889
oreochromis_niloticus ENSONIG00000000545
amphilophus_citrinellus ENSACIG00000005886
monopterus_albus ENSMALG00000018712
mastacembelus_armatus ENSMAMG00000016928
anabas_testudineus ENSATEG00000008135
gadus_morhua ENSGMOG00000018460
esox_lucius ENSELUG00000014528
astyanax_mexicanus ENSAMXG00000009527
pygocentrus_nattereri ENSPNAG00000004714
ictalurus_punctatus ENSIPUG00000014951
danio_rerio ENSDARG00000011042
scleropages_formosus ENSSFOG00015015484
paramormyrops_kingsleyae ENSPKIG00000005843
lepisosteus_oculatus ENSLOCG00000015452
latimeria_chalumnae ENSLACG00000006377
notamacropus_eugenii ENSMEUG00000016428
phascolarctos_cinereus ENSPCIG00000011610
sarcophilus_harrisii ENSSHAG00000017012
monodelphis_domestica ENSMODG00000009166
ornithorhynchus_anatinus ENSOANG00000013735
loxodonta_africana ENSLAFG00000025744
procavia_capensis ENSPCAG00000009592
echinops_telfairi ENSETEG00000014149
ailuropoda_melanoleuca ENSAMEG00000009652
ursus_maritimus ENSUMAG00000005109
mustela_putorius_furo ENSMPUG00000012451
neovison_vison ENSNVIG00000016112
canis_lupus_familiaris ENSCAFG00000012098
canis_lupus_dingo ENSCAFG00020027214
vulpes_vulpes ENSVVUG00000006768
panthera_pardus ENSPPRG00000012801
panthera_tigris_altaica ENSPTIG00000013345
felis_catus ENSFCAG00000022796
capra_hircus ENSCHIG00000011162
ovis_aries ENSOARG00000003127
bos_taurus ENSBTAG00000027205
bison_bison_bison ENSBBBG00000001058
bos_mutus ENSBMUG00000003644
tursiops_truncatus ENSTTRG00000015307
sus_scrofa ENSSSCG00000021027
myotis_lucifugus ENSMLUG00000002572
pteropus_vampyrus ENSPVAG00000016876
sorex_araneus ENSSARG00000012461
erinaceus_europaeus ENSEEUG00000009197
equus_asinus_asinus ENSEASG00005012072
equus_caballus ENSECAG00000006175
cebus_capucinus ENSCCAG00000020494
callithrix_jacchus ENSCJAG00000011901
aotus_nancymaae ENSANAG00000037429
pongo_abelii ENSPPYG00000000122
nomascus_leucogenys ENSNLEG00000001544
papio_anubis ENSPANG00000036150
theropithecus_gelada ENSTGEG00000010584
cercocebus_atys ENSCATG00000033334
chlorocebus_sabaeus ENSCSAG00000010581
macaca_nemestrina ENSMNEG00000031235
rhinopithecus_roxellana ENSRROG00000035909
rhinopithecus_bieti ENSRBIG00000027879
piliocolobus_tephrosceles ENSPTEG00000033916
pan_troglodytes ENSPTRG00000002094
homo_sapiens ENSG00000177614
macaca_mulatta ENSMMUG00000002287
mandrillus_leucophaeus ENSMLEG00000031442
colobus_angolensis_palliatus ENSCANG00000009380
pan_paniscus ENSPPAG00000028509
gorilla_gorilla ENSGGOG00000005004
saimiri_boliviensis_boliviensis ENSSBOG00000024570
macaca_fascicularis ENSMFAG00000001236
carlito_syrichta ENSTSYG00000010350
microcebus_murinus ENSMICG00000004140
prolemur_simus ENSPSMG00000004965
propithecus_coquereli ENSPCOG00000013449
cricetulus_griseus_chok1gshd ENSCGRG00001013649
cricetulus_griseus_crigri ENSCGRG00000017762
cricetulus_griseus_crigri-picr ENSCGRG00015009347
mesocricetus_auratus ENSMAUG00000019062
peromyscus_maniculatus_bairdii ENSPEMG00000019666
microtus_ochrogaster ENSMOCG00000014688
mus_spicilegus ENSMSIG00000009372
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032822
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031704
mus_musculus ENSMUSG00000050751
mus_pahari MGP_PahariEiJ_G0023302
rattus_norvegicus ENSRNOG00000026791
meriones_unguiculatus ENSMUGG00000000499
nannospalax_galili ENSNGAG00000016041
jaculus_jaculus ENSJJAG00000000152
spermophilus_dauricus ENSSDAG00000011461
urocitellus_parryii ENSUPAG00010000058
ictidomys_tridecemlineatus ENSSTOG00000021321
marmota_marmota_marmota ENSMMMG00000011616
heterocephalus_glaber_male ENSHGLG00100000259
heterocephalus_glaber_female ENSHGLG00000017120
fukomys_damarensis ENSFDAG00000011870
chinchilla_lanigera ENSCLAG00000006064
cavia_porcellus ENSCPOG00000010542
cavia_aperea ENSCAPG00000016003
octodon_degus ENSODEG00000005019
dipodomys_ordii ENSDORG00000005999
castor_canadensis ENSCCNG00000030654
tupaia_belangeri ENSTBEG00000012573
oryctolagus_cuniculus ENSOCUG00000006839
ochotona_princeps ENSOPRG00000008114
otolemur_garnettii ENSOGAG00000010600
choloepus_hoffmanni ENSCHOG00000012919
pogona_vitticeps ENSPVIG00000000916
anolis_carolinensis ENSACAG00000001523
notechis_scutatus ENSNSUG00000002858
salvator_merianae ENSSMRG00000022035
sphenodon_punctatus ENSSPUG00000002508
apteryx_haastii ENSAHAG00000003860
