neovison_vison ENSNVIG00000023675
mustela_putorius_furo ENSMPUG00000014778
ailuropoda_melanoleuca ENSAMEG00000002902
canis_lupus_familiaris ENSCAFG00000011806
vulpes_vulpes ENSVVUG00000006201
panthera_pardus ENSPPRG00000007993
panthera_tigris_altaica ENSPTIG00000020906
felis_catus ENSFCAG00000039072
bos_mutus ENSBMUG00000006286
ovis_aries ENSOARG00000014190
sus_scrofa ENSSSCG00000037478
equus_caballus ENSECAG00000005914
equus_asinus_asinus ENSEASG00005014353
castor_canadensis ENSCCNG00000019341
dipodomys_ordii ENSDORG00000025822
cricetulus_griseus_crigri-picr ENSCGRG00015022175
cricetulus_griseus_crigri ENSCGRG00000012914
cricetulus_griseus_chok1gshd ENSCGRG00001024910
mesocricetus_auratus ENSMAUG00000017782
microtus_ochrogaster ENSMOCG00000014006
peromyscus_maniculatus_bairdii ENSPEMG00000011763
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018166
mus_spicilegus ENSMSIG00000024812
mus_musculus ENSMUSG00000009210
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017322
mus_pahari MGP_PahariEiJ_G0018452
rattus_norvegicus ENSRNOG00000060193
meriones_unguiculatus ENSMUGG00000017653
nannospalax_galili ENSNGAG00000018850
jaculus_jaculus ENSJJAG00000013757
cavia_porcellus ENSCPOG00000026269
cavia_aperea ENSCAPG00000008650
chinchilla_lanigera ENSCLAG00000007391
heterocephalus_glaber_female ENSHGLG00000005332
heterocephalus_glaber_male ENSHGLG00100003373
fukomys_damarensis ENSFDAG00000010666
octodon_degus ENSODEG00000009229
urocitellus_parryii ENSUPAG00010001383
spermophilus_dauricus ENSSDAG00000009153
ictidomys_tridecemlineatus ENSSTOG00000030600
prolemur_simus ENSPSMG00000012203
propithecus_coquereli ENSPCOG00000027180
microcebus_murinus ENSMICG00000028288
saimiri_boliviensis_boliviensis ENSSBOG00000031248
callithrix_jacchus ENSCJAG00000019442
aotus_nancymaae ENSANAG00000033797
nomascus_leucogenys ENSNLEG00000028222
rhinopithecus_bieti ENSRBIG00000036292
rhinopithecus_roxellana ENSRROG00000023151
colobus_angolensis_palliatus ENSCANG00000026493
piliocolobus_tephrosceles ENSPTEG00000010634
theropithecus_gelada ENSTGEG00000023762
papio_anubis ENSPANG00000020742
cercocebus_atys ENSCATG00000039931
mandrillus_leucophaeus ENSMLEG00000035264
macaca_fascicularis ENSMFAG00000038365
macaca_nemestrina ENSMNEG00000014425
macaca_mulatta ENSMMUG00000047925
chlorocebus_sabaeus ENSCSAG00000003985
pan_troglodytes ENSPTRG00000038752
pan_paniscus ENSPPAG00000024924
homo_sapiens ENSG00000224383
gorilla_gorilla ENSGGOG00000028409
cebus_capucinus ENSCCAG00000022228
dasypus_novemcinctus ENSDNOG00000036008
phascolarctos_cinereus ENSPCIG00000005773
sarcophilus_harrisii ENSSHAG00000014008
monodelphis_domestica ENSMODG00000028434
