mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028090
mus_musculus ENSMUSG00000029138
rattus_norvegicus ENSRNOG00000055899
meriones_unguiculatus ENSMUGG00000027006
cricetulus_griseus_crigri-picr ENSCGRG00015025327
mus_pahari MGP_PahariEiJ_G0029287
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027094
ictidomys_tridecemlineatus ENSSTOG00000022866
marmota_marmota_marmota ENSMMMG00000020337
urocitellus_parryii ENSUPAG00010005900
spermophilus_dauricus ENSSDAG00000006707
heterocephalus_glaber_female ENSHGLG00000019126
heterocephalus_glaber_male ENSHGLG00100005373
fukomys_damarensis ENSFDAG00000013380
chinchilla_lanigera ENSCLAG00000009921
