stegastes_partitus ENSSPAG00000018568
amphiprion_ocellaris ENSAOCG00000016411
amphilophus_citrinellus ENSACIG00000004071
poecilia_latipinna ENSPLAG00000002380
xiphophorus_couchianus ENSXCOG00000000848
cyprinodon_variegatus ENSCVAG00000022014
seriola_lalandi_dorsalis ENSSLDG00000011918
seriola_dumerili ENSSDUG00000021200
labrus_bergylta ENSLBEG00000024905
periophthalmus_magnuspinnatus ENSPMGG00000017797
pygocentrus_nattereri ENSPNAG00000028467
astyanax_mexicanus ENSAMXG00000033095
astyanax_mexicanus ENSAMXG00000038256
scleropages_formosus ENSSFOG00015024055
dromaius_novaehollandiae ENSDNVG00000002715
nothoprocta_perdicaria ENSNPEG00000006509
numida_meleagris ENSNMEG00000000351
coturnix_japonica ENSCJPG00005000866
lepidothrix_coronata ENSLCOG00000006460
serinus_canaria ENSSCAG00000004644
manacus_vitellinus ENSMVIG00005011514
parus_major ENSPMJG00000002613
calidris_pygmaea ENSCPGG00000008115
calidris_pugnax ENSCPUG00000012328
anser_brachyrhynchus ENSABRG00000004884
anas_platyrhynchos_platyrhynchos ENSAPLG00000017453
apteryx_haastii ENSAHAG00000000270
gopherus_agassizii ENSGAGG00000024353
bos_taurus ENSBTAG00000053618
bos_mutus ENSBMUG00000017923
bison_bison_bison ENSBBBG00000012042
