procavia_capensis ENSPCAG00000003984
echinops_telfairi ENSETEG00000000127
choloepus_hoffmanni ENSCHOG00000005709
ursus_americanus ENSUAMG00000025985
ursus_maritimus ENSUMAG00000018071
ailuropoda_melanoleuca ENSAMEG00000017763
erinaceus_europaeus ENSEEUG00000011196
pteropus_vampyrus ENSPVAG00000015202
tursiops_truncatus ENSTTRG00000014728
macaca_mulatta ENSMMUG00000015638
papio_anubis ENSPANG00000003279
oryctolagus_cuniculus ENSOCUG00000013632
ochotona_princeps ENSOPRG00000014514
tupaia_belangeri ENSTBEG00000012111
sorex_araneus ENSSARG00000002047
loxodonta_africana ENSLAFG00000030564
dasypus_novemcinctus ENSDNOG00000016664
cavia_aperea ENSCAPG00000013221
cavia_porcellus ENSCPOG00000026582
octodon_degus ENSODEG00000007774
chinchilla_lanigera ENSCLAG00000012483
heterocephalus_glaber_female ENSHGLG00000006016
fukomys_damarensis ENSFDAG00000009811
microcebus_murinus ENSMICG00000028746
prolemur_simus ENSPSMG00000023534
propithecus_coquereli ENSPCOG00000013787
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016332
mus_spicilegus ENSMSIG00000018948
mus_musculus ENSMUSG00000036216
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017176
mus_pahari MGP_PahariEiJ_G0017467
meriones_unguiculatus ENSMUGG00000018816
cricetulus_griseus_crigri ENSCGRG00000009173
cricetulus_griseus_crigri-picr ENSCGRG00015025080
cricetulus_griseus_chok1gshd ENSCGRG00001015918
mesocricetus_auratus ENSMAUG00000012145
microtus_ochrogaster ENSMOCG00000022263
peromyscus_maniculatus_bairdii ENSPEMG00000027955
nannospalax_galili ENSNGAG00000017043
jaculus_jaculus ENSJJAG00000000464
castor_canadensis ENSCCNG00000028932
spermophilus_dauricus ENSSDAG00000020008
urocitellus_parryii ENSUPAG00010015797
ictidomys_tridecemlineatus ENSSTOG00000028867
marmota_marmota_marmota ENSMMMG00000016357
otolemur_garnettii ENSOGAG00000009438
canis_lupus_dingo ENSCAFG00020000946
canis_lupus_familiaris ENSCAFG00000000922
vulpes_vulpes ENSVVUG00000024534
neovison_vison ENSNVIG00000017370
panthera_pardus ENSPPRG00000014622
panthera_tigris_altaica ENSPTIG00000019152
felis_catus ENSFCAG00000035850
equus_caballus ENSECAG00000031705
capra_hircus ENSCHIG00000006437
ovis_aries ENSOARG00000013269
bos_mutus ENSBMUG00000002519
bos_taurus ENSBTAG00000018926
bison_bison_bison ENSBBBG00000018954
sus_scrofa ENSSSCG00000032490
myotis_lucifugus ENSMLUG00000015078
chlorocebus_sabaeus ENSCSAG00000013689
theropithecus_gelada ENSTGEG00000019787
macaca_nemestrina ENSMNEG00000031057
macaca_fascicularis ENSMFAG00000034148
mandrillus_leucophaeus ENSMLEG00000042867
cercocebus_atys ENSCATG00000042054
piliocolobus_tephrosceles ENSPTEG00000000206
colobus_angolensis_palliatus ENSCANG00000030213
rhinopithecus_roxellana ENSRROG00000042130
rhinopithecus_bieti ENSRBIG00000029790
pan_troglodytes ENSPTRG00000043208
pan_troglodytes ENSPTRG00000017227
pan_paniscus ENSPPAG00000037695
gorilla_gorilla ENSGGOG00000012326
homo_sapiens ENSG00000164406
pongo_abelii ENSPPYG00000015774
nomascus_leucogenys ENSNLEG00000012869
cebus_capucinus ENSCCAG00000029916
callithrix_jacchus ENSCJAG00000046560
saimiri_boliviensis_boliviensis ENSSBOG00000036208
aotus_nancymaae ENSANAG00000033692
carlito_syrichta ENSTSYG00000014711
dipodomys_ordii ENSDORG00000029735
notamacropus_eugenii ENSMEUG00000006609
phascolarctos_cinereus ENSPCIG00000000228
monodelphis_domestica ENSMODG00000013847
sarcophilus_harrisii ENSSHAG00000013151
ornithorhynchus_anatinus ENSOANG00000000277
salvator_merianae ENSSMRG00000017974
anolis_carolinensis ENSACAG00000013042
sphenodon_punctatus ENSSPUG00000012201
calidris_pygmaea ENSCPGG00000010870
calidris_pugnax ENSCPUG00000006433
serinus_canaria ENSSCAG00000001633
lonchura_striata_domestica ENSLSDG00000004336
cyanistes_caeruleus ENSCCEG00000019151
parus_major ENSPMJG00000006308
taeniopygia_guttata ENSTGUG00000000192
ficedula_albicollis ENSFALG00000008912
junco_hyemalis ENSJHYG00000006977
lepidothrix_coronata ENSLCOG00000011088
manacus_vitellinus ENSMVIG00005017567
zonotrichia_albicollis ENSZALG00000014029
melopsittacus_undulatus ENSMUNG00000003909
anas_platyrhynchos_platyrhynchos ENSAPLG00000011235
anser_brachyrhynchus ENSABRG00000016336
gallus_gallus ENSGALG00000048876
meleagris_gallopavo ENSMGAG00000009138
numida_meleagris ENSNMEG00000020508
apteryx_haastii ENSAHAG00000007516
apteryx_rowi ENSARWG00000001873
apteryx_owenii ENSAOWG00000008416
dromaius_novaehollandiae ENSDNVG00000011193
crocodylus_porosus ENSCPRG00005008479
chelonoidis_abingdonii ENSCABG00000010227
chrysemys_picta_bellii ENSCPBG00000016520
gopherus_agassizii ENSGAGG00000020223
xenopus_tropicalis ENSXETG00000030080
danio_rerio ENSDARG00000092044
