equus_caballus ENSECAG00000015026
equus_asinus_asinus ENSEASG00005008350
pteropus_vampyrus ENSPVAG00000001209
bos_mutus ENSBMUG00000001159
bos_taurus ENSBTAG00000019513
bison_bison_bison ENSBBBG00000006483
ovis_aries ENSOARG00000008768
tursiops_truncatus ENSTTRG00000006501
sus_scrofa ENSSSCG00000032122
ursus_americanus ENSUAMG00000019212
ailuropoda_melanoleuca ENSAMEG00000015986
mustela_putorius_furo ENSMPUG00000012933
vulpes_vulpes ENSVVUG00000027383
canis_lupus_dingo ENSCAFG00020023649
erinaceus_europaeus ENSEEUG00000000977
propithecus_coquereli ENSPCOG00000023076
microcebus_murinus ENSMICG00000038544
otolemur_garnettii ENSOGAG00000013856
pan_troglodytes ENSPTRG00000021458
pan_paniscus ENSPPAG00000038811
homo_sapiens ENSG00000179058
pongo_abelii ENSPPYG00000019678
nomascus_leucogenys ENSNLEG00000035118
rhinopithecus_bieti ENSRBIG00000024166
rhinopithecus_roxellana ENSRROG00000042155
piliocolobus_tephrosceles ENSPTEG00000004385
macaca_fascicularis ENSMFAG00000033035
macaca_mulatta ENSMMUG00000009965
macaca_nemestrina ENSMNEG00000043353
mandrillus_leucophaeus ENSMLEG00000041404
papio_anubis ENSPANG00000025961
theropithecus_gelada ENSTGEG00000016549
cercocebus_atys ENSCATG00000037597
chlorocebus_sabaeus ENSCSAG00000014564
cebus_capucinus ENSCCAG00000037996
saimiri_boliviensis_boliviensis ENSSBOG00000026313
callithrix_jacchus ENSCJAG00000020306
mus_spicilegus ENSMSIG00000021299
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024316
mus_musculus ENSMUSG00000044320
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023399
mus_pahari MGP_PahariEiJ_G0024856
rattus_norvegicus ENSRNOG00000018486
meriones_unguiculatus ENSMUGG00000010086
peromyscus_maniculatus_bairdii ENSPEMG00000008559
microtus_ochrogaster ENSMOCG00000012438
cricetulus_griseus_crigri-picr ENSCGRG00015016499
cricetulus_griseus_crigri ENSCGRG00000007199
mesocricetus_auratus ENSMAUG00000021861
castor_canadensis ENSCCNG00000029083
ochotona_princeps ENSOPRG00000009796
loxodonta_africana ENSLAFG00000002341
procavia_capensis ENSPCAG00000012961
dasypus_novemcinctus ENSDNOG00000018162
