spermophilus_dauricus ENSSDAG00000003840
marmota_marmota_marmota ENSMMMG00000009451
fukomys_damarensis ENSFDAG00000006606
mus_musculus ENSMUSG00000035638
mus_spicilegus ENSMSIG00000010193
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021575
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020679
mus_pahari MGP_PahariEiJ_G0016382
rattus_norvegicus ENSRNOG00000001776
meriones_unguiculatus ENSMUGG00000026983
meriones_unguiculatus ENSMUGG00000026975
cricetulus_griseus_chok1gshd ENSCGRG00001020342
cricetulus_griseus_crigri-picr ENSCGRG00015021547
mesocricetus_auratus ENSMAUG00000003376
microtus_ochrogaster ENSMOCG00000022305
nannospalax_galili ENSNGAG00000013676
castor_canadensis ENSCCNG00000002893
ochotona_princeps ENSOPRG00000012559
oryctolagus_cuniculus ENSOCUG00000023905
pan_paniscus ENSPPAG00000026071
pan_troglodytes ENSPTRG00000042738
gorilla_gorilla ENSGGOG00000013585
homo_sapiens ENSG00000176945
pan_troglodytes ENSPTRG00000046256
pongo_abelii ENSPPYG00000014432
nomascus_leucogenys ENSNLEG00000008398
macaca_fascicularis ENSMFAG00000033975
macaca_nemestrina ENSMNEG00000030229
macaca_mulatta ENSMMUG00000008355
papio_anubis ENSPANG00000006483
theropithecus_gelada ENSTGEG00000027231
mandrillus_leucophaeus ENSMLEG00000035449
cercocebus_atys ENSCATG00000040657
chlorocebus_sabaeus ENSCSAG00000008489
colobus_angolensis_palliatus ENSCANG00000027945
piliocolobus_tephrosceles ENSPTEG00000027778
rhinopithecus_bieti ENSRBIG00000040237
rhinopithecus_roxellana ENSRROG00000025108
cebus_capucinus ENSCCAG00000029572
saimiri_boliviensis_boliviensis ENSSBOG00000030754
callithrix_jacchus ENSCJAG00000016448
aotus_nancymaae ENSANAG00000026122
carlito_syrichta ENSTSYG00000002371
prolemur_simus ENSPSMG00000006830
propithecus_coquereli ENSPCOG00000014592
microcebus_murinus ENSMICG00000048627
otolemur_garnettii ENSOGAG00000031552
ursus_maritimus ENSUMAG00000003335
ursus_americanus ENSUAMG00000016460
ailuropoda_melanoleuca ENSAMEG00000004040
neovison_vison ENSNVIG00000012125
mustela_putorius_furo ENSMPUG00000004071
canis_lupus_dingo ENSCAFG00020003256
canis_lupus_familiaris ENSCAFG00000012807
vulpes_vulpes ENSVVUG00000008082
panthera_tigris_altaica ENSPTIG00000007123
panthera_pardus ENSPPRG00000006641
felis_catus ENSFCAG00000011427
equus_asinus_asinus ENSEASG00005006785
equus_caballus ENSECAG00000010018
bos_taurus ENSBTAG00000032819
bos_mutus ENSBMUG00000021029
bison_bison_bison ENSBBBG00000010945
ovis_aries ENSOARG00000020287
capra_hircus ENSCHIG00000019529
tursiops_truncatus ENSTTRG00000016285
sus_scrofa ENSSSCG00000011851
vicugna_pacos ENSVPAG00000002508
myotis_lucifugus ENSMLUG00000004654
loxodonta_africana ENSLAFG00000008801
echinops_telfairi ENSETEG00000018210
choloepus_hoffmanni ENSCHOG00000002198
dasypus_novemcinctus ENSDNOG00000014117
