dromaius_novaehollandiae ENSDNVG00000009831
nothoprocta_perdicaria ENSNPEG00000002007
meleagris_gallopavo ENSMGAG00000008406
coturnix_japonica ENSCJPG00005005133
gallus_gallus ENSGALG00000032664
numida_meleagris ENSNMEG00000020473
lonchura_striata ENSLSDG00000007497
taeniopygia_guttata ENSTGUG00000001286
junco_hyemalis ENSJHYG00000013615
parus_major ENSPMJG00000009661
lepidothrix_coronata ENSLCOG00000000498
manacus_vitellinus ENSMVIG00005010489
serinus_canaria ENSSCAG00000010887
anas_platyrhynchos ENSAPLG00000014846
calidris_pygmaea ENSCPGG00000013247
calidris_pugnax ENSCPUG00000003821
melopsittacus_undulatus ENSMUNG00000003158
apteryx_haastii ENSAHAG00000009175
apteryx_rowi ENSARWG00000001983
apteryx_owenii ENSAOWG00000008939
zonotrichia_albicollis ENSZALG00000009545
anser_brachyrhynchus ENSABRG00000011776
crocodylus_porosus ENSCPRG00005010425
gopherus_agassizii ENSGAGG00000013404
chelonoidis_abingdonii ENSCABG00000004629
chrysemys_picta ENSCPBG00000007706
pelodiscus_sinensis ENSPSIG00000004966
anolis_carolinensis ENSACAG00000002551
pogona_vitticeps ENSPVIG00000001458
notechis_scutatus ENSNSUG00000004480
salvator_merianae ENSSMRG00000017701
sphenodon_punctatus ENSSPUG00000009524
ornithorhynchus_anatinus ENSOANG00000009823
vombatus_ursinus ENSVURG00010007506
phascolarctos_cinereus ENSPCIG00000021861
vombatus_ursinus ENSVURG00010001698
phascolarctos_cinereus ENSPCIG00000015504
notamacropus_eugenii ENSMEUG00000004740
monodelphis_domestica ENSMODG00000014209
sarcophilus_harrisii ENSSHAG00000016143
sarcophilus_harrisii ENSSHAG00000000793
pongo_abelii ENSPPYG00000015786
homo_sapiens ENSG00000119048
chlorocebus_sabaeus ENSCSAG00000013595
cercocebus_atys ENSCATG00000032151
macaca_mulatta ENSMMUG00000016641
theropithecus_gelada ENSTGEG00000020566
piliocolobus_tephrosceles ENSPTEG00000035032
colobus_angolensis ENSCANG00000038577
carlito_syrichta ENSTSYG00000031443
cebus_capucinus ENSCCAG00000026429
saimiri_boliviensis ENSSBOG00000024350
callithrix_jacchus ENSCJAG00000047448
pan_paniscus ENSPPAG00000038729
pan_troglodytes ENSPTRG00000017240
nomascus_leucogenys ENSNLEG00000008093
macaca_nemestrina ENSMNEG00000034858
macaca_fascicularis ENSMFAG00000041630
mandrillus_leucophaeus ENSMLEG00000000715
papio_anubis ENSPANG00000010163
rhinopithecus_bieti ENSRBIG00000039608
rhinopithecus_roxellana ENSRROG00000041544
colobus_angolensis ENSCANG00000028973
aotus_nancymaae ENSANAG00000032856
equus_asinus ENSEASG00005018515
fukomys_damarensis ENSFDAG00000016885
fukomys_damarensis ENSFDAG00000014881
heterocephalus_glaber ENSHGLG00000015894
heterocephalus_glaber ENSHGLG00100010957
cavia_porcellus ENSCPOG00000030926
chinchilla_lanigera ENSCLAG00000015390
octodon_degus ENSODEG00000009143
mus_musculus ENSMUSG00000020390
mus_spicilegus ENSMSIG00000022108
mus_spretus MGP_SPRETEiJ_G0017165
mus_caroli MGP_CAROLIEiJ_G0016321
mus_pahari MGP_PahariEiJ_G0017456
rattus_norvegicus ENSRNOG00000005064
rattus_norvegicus ENSRNOG00000059348
meriones_unguiculatus ENSMUGG00000013375
cricetulus_griseus ENSCGRG00000008520
cricetulus_griseus ENSCGRG00001011016
cricetulus_griseus ENSCGRG00001021699
cricetulus_griseus ENSCGRG00015025432
mesocricetus_auratus ENSMAUG00000011254
microtus_ochrogaster ENSMOCG00000014525
peromyscus_maniculatus ENSPEMG00000028920
ochotona_princeps ENSOPRG00000006668
