eptatretus_burgeri ENSEBUG00000014325
petromyzon_marinus ENSPMAG00000006685
denticeps_clupeoides ENSDCDG00000021644
clupea_harengus ENSCHAG00000022216
astyanax_mexicanus ENSAMXG00000014024
astyanax_mexicanus ENSAMXG00005008531
pygocentrus_nattereri ENSPNAG00000027070
ictalurus_punctatus ENSIPUG00000020607
electrophorus_electricus ENSEEEG00000001252
danio_rerio ENSDARG00000078324
paramormyrops_kingsleyae ENSPKIG00000013811
scleropages_formosus ENSSFOG00015010518
lepisosteus_oculatus ENSLOCG00000005336
takifugu_rubripes ENSTRUG00000014772
tetraodon_nigroviridis ENSTNIG00000011975
mola_mola ENSMMOG00000014150
larimichthys_crocea ENSLCRG00005018843
labrus_bergylta ENSLBEG00000020072
labrus_bergylta ENSLBEG00000016084
cottoperca_gobio ENSCGOG00000000713
gasterosteus_aculeatus ENSGACG00000006600
amphiprion_ocellaris ENSAOCG00000022988
amphiprion_percula ENSAPEG00000015454
acanthochromis_polyacanthus ENSAPOG00000017001
stegastes_partitus ENSSPAG00000012277
astatotilapia_calliptera ENSACLG00000023520
maylandia_zebra ENSMZEG00005020291
haplochromis_burtoni ENSHBUG00000023694
pundamilia_nyererei ENSPNYG00000009137
neolamprologus_brichardi ENSNBRG00000004183
oreochromis_niloticus ENSONIG00000002121
amphilophus_citrinellus ENSACIG00000022014
parambassis_ranga ENSPRNG00000010408
cyprinodon_variegatus ENSCVAG00000007609
fundulus_heteroclitus ENSFHEG00000012763
xiphophorus_maculatus ENSXMAG00000019072
xiphophorus_couchianus ENSXCOG00000009208
gambusia_affinis ENSGAFG00000019190
poecilia_mexicana ENSPMEG00000007838
poecilia_formosa ENSPFOG00000010341
poecilia_latipinna ENSPLAG00000007801
poecilia_reticulata ENSPREG00000022921
kryptolebias_marmoratus ENSKMAG00000013824
oryzias_latipes ENSORLG00015006983
oryzias_latipes ENSORLG00000004492
oryzias_latipes ENSORLG00020015108
oryzias_melastigma ENSOMEG00000004297
gouania_willdenowi ENSGWIG00000003723
monopterus_albus ENSMALG00000000454
mastacembelus_armatus ENSMAMG00000018596
anabas_testudineus ENSATEG00000013391
seriola_dumerili ENSSDUG00000001811
seriola_lalandi ENSSLDG00000024888
lates_calcarifer ENSLCAG00010027482
scophthalmus_maximus ENSSMAG00000015988
cynoglossus_semilaevis ENSCSEG00000005250
betta_splendens ENSBSLG00000002697
hippocampus_comes ENSHCOG00000020750
periophthalmus_magnuspinnatus ENSPMGG00000021615
gadus_morhua ENSGMOG00000015664
hucho_hucho ENSHHUG00000027857
hucho_hucho ENSHHUG00000036158
esox_lucius ENSELUG00000005506
mola_mola ENSMMOG00000008992
xenopus_tropicalis ENSXETG00000000480
xenopus_tropicalis ENSXETG00000014916
xenopus_tropicalis ENSXETG00000004810
xenopus_tropicalis ENSXETG00000015340
xenopus_tropicalis ENSXETG00000015263
xenopus_tropicalis ENSXETG00000015448
ciona_savignyi ENSCSAVG00000004543
ciona_intestinalis ENSCING00000018501
