equus_asinus_asinus ENSEASG00005014724
equus_caballus ENSECAG00000013876
erinaceus_europaeus ENSEEUG00000006247
callithrix_jacchus ENSCJAG00000000309
saimiri_boliviensis_boliviensis ENSSBOG00000033182
pan_paniscus ENSPPAG00000030724
pan_troglodytes ENSPTRG00000031411
homo_sapiens ENSG00000187175
pongo_abelii ENSPPYG00000011500
nomascus_leucogenys ENSNLEG00000002334
homo_sapiens ENSG00000221864
papio_anubis ENSPANG00000035854
theropithecus_gelada ENSTGEG00000018891
cercocebus_atys ENSCATG00000044136
macaca_nemestrina ENSMNEG00000028794
mandrillus_leucophaeus ENSMLEG00000038049
rhinopithecus_bieti ENSRBIG00000030166
rhinopithecus_roxellana ENSRROG00000014285
macaca_mulatta ENSMMUG00000022561
macaca_mulatta ENSMMUG00000022563
macaca_fascicularis ENSMFAG00000033299
macaca_fascicularis ENSMFAG00000001473
macaca_nemestrina ENSMNEG00000043238
papio_anubis ENSPANG00000033420
mandrillus_leucophaeus ENSMLEG00000023838
cercocebus_atys ENSCATG00000040752
chlorocebus_sabaeus ENSCSAG00000007540
piliocolobus_tephrosceles ENSPTEG00000006056
piliocolobus_tephrosceles ENSPTEG00000006086
piliocolobus_tephrosceles ENSPTEG00000006961
piliocolobus_tephrosceles ENSPTEG00000006911
colobus_angolensis_palliatus ENSCANG00000003243
rhinopithecus_roxellana ENSRROG00000037015
pan_troglodytes ENSPTRG00000013986
pan_paniscus ENSPPAG00000032261
homo_sapiens ENSG00000205439
pongo_abelii ENSPPYG00000011499
papio_anubis ENSPANG00000014418
papio_anubis ENSPANG00000020869
theropithecus_gelada ENSTGEG00000018906
chlorocebus_sabaeus ENSCSAG00000000275
piliocolobus_tephrosceles ENSPTEG00000010827
aotus_nancymaae ENSANAG00000026810
microcebus_murinus ENSMICG00000046990
microcebus_murinus ENSMICG00000047484
prolemur_simus ENSPSMG00000002110
oryctolagus_cuniculus ENSOCUG00000014146
