pan_troglodytes ENSPTRG00000045894
pan_paniscus ENSPPAG00000039398
gorilla_gorilla ENSGGOG00000037710
nomascus_leucogenys ENSNLEG00000034423
macaca_mulatta ENSMMUG00000013423
rhinopithecus_bieti ENSRBIG00000033545
otolemur_garnettii ENSOGAG00000031740
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015712
mus_musculus ENSMUSG00000058981
mus_spicilegus ENSMSIG00000032013
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014908
mus_pahari MGP_PahariEiJ_G0028146
rattus_norvegicus ENSRNOG00000046418
mus_spicilegus ENSMSIG00000032014
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015711
mus_musculus ENSMUSG00000062527
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014907
mus_pahari MGP_PahariEiJ_G0028145
rattus_norvegicus ENSRNOG00000049212
meriones_unguiculatus ENSMUGG00000012461
cricetulus_griseus_crigri-picr ENSCGRG00015015705
cricetulus_griseus_chok1gshd ENSCGRG00001012729
cricetulus_griseus_crigri ENSCGRG00000014188
cricetulus_griseus_crigri ENSCGRG00000013934
cricetulus_griseus_crigri-picr ENSCGRG00015015711
cricetulus_griseus_chok1gshd ENSCGRG00001012248
peromyscus_maniculatus_bairdii ENSPEMG00000014050
spermophilus_dauricus ENSSDAG00000015441
spermophilus_dauricus ENSSDAG00000018417
marmota_marmota_marmota ENSMMMG00000022475
urocitellus_parryii ENSUPAG00010011037
heterocephalus_glaber_male ENSHGLG00100006160
heterocephalus_glaber_female ENSHGLG00000014719
cavia_porcellus ENSCPOG00000032628
oryctolagus_cuniculus ENSOCUG00000027146
sus_scrofa ENSSSCG00000006411
capra_hircus ENSCHIG00000017998
vulpes_vulpes ENSVVUG00000016370
canis_lupus_familiaris ENSCAFG00000029874
ursus_maritimus ENSUMAG00000001741
ursus_americanus ENSUAMG00000026666
panthera_pardus ENSPPRG00000017645
panthera_tigris_altaica ENSPTIG00000006183
felis_catus ENSFCAG00000029413
equus_caballus ENSECAG00000005575
loxodonta_africana ENSLAFG00000031436
sarcophilus_harrisii ENSSHAG00000001073
