ursus_americanus ENSUAMG00000021079
ailuropoda_melanoleuca ENSAMEG00000003276
neovison_vison ENSNVIG00000009807
mustela_putorius ENSMPUG00000009709
panthera_pardus ENSPPRG00000004361
felis_catus ENSFCAG00000002699
equus_caballus ENSECAG00000032620
equus_asinus ENSEASG00005015087
bos_indicus ENSBIXG00000012389
bos_indicus ENSBIXG00005025096
bos_taurus ENSBTAG00000046499
bos_mutus ENSBMUG00000020071
ovis_aries ENSOARG00000014978
sus_scrofa ENSSSCG00000033363
myotis_lucifugus ENSMLUG00000023878
octodon_degus ENSODEG00000017202
cavia_porcellus ENSCPOG00000021575
chinchilla_lanigera ENSCLAG00000003565
heterocephalus_glaber ENSHGLG00100005493
heterocephalus_glaber ENSHGLG00000013568
fukomys_damarensis ENSFDAG00000006629
urocitellus_parryii ENSUPAG00010018372
ictidomys_tridecemlineatus ENSSTOG00000029203
spermophilus_dauricus ENSSDAG00000001445
marmota_marmota ENSMMMG00000004143
mus_spretus MGP_SPRETEiJ_G0031738
mus_musculus ENSMUSG00000025469
mus_spicilegus ENSMSIG00000026417
mus_caroli MGP_CAROLIEiJ_G0030627
mus_pahari MGP_PahariEiJ_G0013832
rattus_norvegicus ENSRNOG00000046776
meriones_unguiculatus ENSMUGG00000009792
cricetulus_griseus ENSCGRG00001000375
cricetulus_griseus ENSCGRG00015027759
cricetulus_griseus ENSCGRG00000016211
mesocricetus_auratus ENSMAUG00000002446
microtus_ochrogaster ENSMOCG00000018905
peromyscus_maniculatus ENSPEMG00000017168
nannospalax_galili ENSNGAG00000022865
jaculus_jaculus ENSJJAG00000022578
castor_canadensis ENSCCNG00000021383
loxodonta_africana ENSLAFG00000031082
